epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,171,63390,370.701754386,2.09131488957
2,181,80140,442.762430939,4.70259115074
3,213,61350,288.028169014,7.12435234342
4,211,116080,550.142180095,8.29688425157
5,209,115570,552.966507177,9.34518116175
6,200,123790,618.95,10.3666352409
7,199,122540,615.778894472,10.753640959
8,164,134350,819.207317073,11.5303140999
9,151,143800,952.317880795,12.4290350439
10,135,133710,990.444444444,12.6998926895
11,141,172950,1226.59574468,12.8075609963
12,152,193360,1272.10526316,13.2537020662
13,151,203870,1350.13245033,13.9212158149
14,152,192100,1263.81578947,14.0369587401
15,144,178850,1242.01388889,13.9915154769
16,146,186210,1275.4109589,13.8204560754
17,138,163890,1187.60869565,13.8682978339
18,130,179910,1383.92307692,13.8352063814
19,129,170710,1323.33333333,13.6105820791
20,125,173440,1387.52,13.3591012067
21,127,159310,1254.40944882,13.3459868744
22,125,181020,1448.16,13.1931286224
23,124,177310,1429.91935484,13.0397273593
24,122,162750,1334.01639344,12.9628993605
25,126,177490,1408.65079365,13.3924447922
26,130,188850,1452.69230769,13.3674901941
27,125,177640,1421.12,13.2810862191
28,119,169610,1425.29411765,13.1080537224
29,127,186990,1472.36220472,13.1094015631
30,127,193260,1521.73228346,13.1676130159
31,132,225060,1705.0,13.4319510896
32,133,192690,1448.79699248,13.4512288344
33,137,217430,1587.08029197,13.5449583148
34,130,204790,1575.30769231,13.3887628455
35,128,211290,1650.703125,13.3202282513
36,127,194650,1532.67716535,13.2349679264
37,128,189690,1481.953125,13.3303210935
38,125,190780,1526.24,13.4102520821
39,127,193520,1523.77952756,13.4881056978
40,121,201470,1665.04132231,13.3809213669
41,125,205550,1644.4,13.3393459631
42,127,198740,1564.88188976,13.1360019591
43,125,180760,1446.08,13.2479266646
44,129,192470,1492.01550388,13.4829685582
45,121,188150,1554.95867769,13.1902466738
46,130,204980,1576.76923077,13.229602533
47,127,190160,1497.32283465,13.27459912
48,123,177330,1441.70731707,13.5556180741
49,127,190400,1499.21259843,13.70006413
50,124,199300,1607.25806452,13.629143976
51,124,178700,1441.12903226,13.8172889257
52,125,188850,1510.8,13.999251527
53,121,182460,1507.9338843,13.9247455749
54,124,185820,1498.5483871,14.0589663234
55,123,184910,1503.33333333,14.1352208904
56,122,169850,1392.21311475,14.138463749
57,120,198020,1650.16666667,14.1725856624
58,121,186840,1544.1322314,13.9568484929
59,122,188640,1546.2295082,14.1335760803
60,122,193140,1583.1147541,14.3490364277
61,119,192010,1613.52941176,14.1552466574
62,129,203200,1575.19379845,14.3725980193
63,122,192440,1577.37704918,14.1867694511
64,121,186910,1544.7107438,13.9185584916
65,124,188740,1522.09677419,13.9953398297
66,128,195630,1528.359375,14.004307739
67,125,189660,1517.28,14.0977585105
68,123,186490,1516.17886179,14.1027926371
69,121,178680,1476.69421488,14.1715708617
70,122,183590,1504.83606557,13.9614468579
71,123,195920,1592.84552846,14.2969902533
72,120,190690,1589.08333333,14.4562106004
73,123,191960,1560.6504065,14.2364305822
74,125,185560,1484.48,14.535134303
75,122,180390,1478.60655738,14.6595640597
76,126,196670,1560.87301587,14.7148778055
77,125,200400,1603.2,14.8478583132
78,122,187280,1535.08196721,14.7272995521
79,116,207070,1785.0862069,14.5673033005
80,125,201920,1615.36,14.6103952124
81,124,197590,1593.46774194,14.5294759497
82,120,204420,1703.5,14.578652371
83,122,191750,1571.72131148,14.582652384
84,119,210540,1769.24369748,14.6289167296
85,126,208150,1651.98412698,14.8835477043
86,125,209410,1675.28,14.675557942
87,122,188150,1542.21311475,14.2864638444
88,119,187540,1575.96638655,14.285051508
89,122,197520,1619.01639344,14.5550225907
90,121,184500,1524.79338843,14.6970670598
91,121,210950,1743.38842975,14.4734120878
92,119,203020,1706.05042017,14.4327692428
93,125,203440,1627.52,14.2646128504
94,120,198910,1657.58333333,14.4169446868
95,118,191860,1625.93220339,14.4376414128
96,118,213710,1811.10169492,14.2819688152
97,123,192740,1566.99186992,14.2103125157
98,121,203540,1682.14876033,14.2035764911
99,124,223980,1806.29032258,14.2201653805
100,126,201990,1603.0952381,14.1321263075
101,119,202090,1698.23529412,14.1906145647
102,125,228770,1830.16,14.1593042126
103,121,217780,1799.83471074,14.323878451
104,113,212990,1884.86725664,14.483800353
105,122,223410,1831.2295082,14.377936801
106,121,227900,1883.47107438,14.5484135226
107,119,222720,1871.59663866,14.6203071004
108,120,215750,1797.91666667,14.417811317
109,117,202530,1731.02564103,14.3704756097
110,116,208700,1799.13793103,14.857335134
111,119,222250,1867.64705882,14.6111470843
112,122,236750,1940.57377049,14.444819226
113,121,214770,1774.95867769,14.1591493978
114,116,219510,1892.32758621,14.1665740831
115,115,223900,1946.95652174,14.2197257065
116,118,225970,1915.0,14.556386299
117,124,237630,1916.37096774,14.9064819249
118,122,229160,1878.36065574,14.8754430668
119,125,236180,1889.44,14.7337530643
120,123,238440,1938.53658537,14.7024278243
121,123,228670,1859.10569106,14.7026672012
122,124,247000,1991.93548387,14.6055379284
123,124,234290,1889.43548387,14.7626107977
124,121,246870,2040.24793388,14.8708965729
125,120,231310,1927.58333333,14.8921864459
126,119,229620,1929.57983193,14.5880683889
127,122,218550,1791.39344262,14.5459311559
128,123,229980,1869.75609756,14.6679568541
129,122,233410,1913.19672131,14.7308316754
130,124,239050,1927.82258065,14.7631111366
131,120,248350,2069.58333333,14.9926316164
132,122,252040,2065.90163934,15.1639375902
133,121,229970,1900.5785124,14.9346267532
