epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,177,6221,35.1468926554,0.680168670258
2,134,6506,48.552238806,2.0415764708
3,192,5956,31.0208333333,2.69571043045
4,148,9041,61.0878378378,3.47830356752
5,106,9166,86.4716981132,4.15512827386
6,113,10432,92.3185840708,4.67350473629
7,115,12875,111.956521739,5.28594893983
8,108,12914,119.574074074,5.80443228317
9,109,12944,118.752293578,6.14279834472
10,103,14329,139.116504854,6.13621320283
11,99,14692,148.404040404,6.18513309751
12,98,15070,153.775510204,6.37284876823
13,95,16329,171.884210526,6.64504183948
14,86,15034,174.813953488,6.81556440845
15,85,17388,204.564705882,6.76376798613
16,84,18309,217.964285714,6.90696100764
17,77,15093,196.012987013,6.80194366269
18,83,16373,197.265060241,6.74949761109
19,81,17233,212.75308642,6.66385719275
20,78,15736,201.743589744,6.55324390836
21,78,16428,210.615384615,6.47377133021
22,75,16808,224.106666667,6.45616317947
23,74,15925,215.202702703,6.5211368628
24,77,16955,220.194805195,6.57019368779
25,71,16141,227.338028169,6.61382582574
26,70,16502,235.742857143,6.68361261223
27,81,17602,217.308641975,6.59402650302
28,70,16943,242.042857143,6.40325926189
29,69,18711,271.173913043,6.24975618001
30,72,17988,249.833333333,6.11889988179
31,71,18697,263.338028169,6.05474276271
32,66,18343,277.924242424,6.07937644485
33,66,18499,280.287878788,6.00957719189
34,68,19175,281.985294118,6.25342941498
35,66,19129,289.833333333,6.33599358971
36,69,20269,293.753623188,6.24038176151
37,68,19593,288.132352941,6.2594478569
38,69,20624,298.898550725,6.30233649841
39,66,22148,335.575757576,6.42301783779
40,68,21790,320.441176471,6.39011765886
41,66,21534,326.272727273,6.23167844617
42,65,23722,364.953846154,6.20345480699
43,65,22166,341.015384615,6.34243806484
44,62,21778,351.258064516,6.3515166206
45,63,22168,351.873015873,6.36926074311
46,62,21665,349.435483871,6.32600864127
47,61,22316,365.836065574,6.3419339912
48,61,22142,362.983606557,6.35829940138
49,66,24590,372.575757576,6.42075421179
50,64,22942,358.46875,6.27889681944
51,61,22023,361.032786885,6.26427774893
52,63,21367,339.158730159,6.22409932207
53,62,20798,335.451612903,6.30416082354
54,59,21589,365.915254237,6.18933129753
55,63,23873,378.936507937,6.21492498246
56,60,22480,374.666666667,6.17988586605
57,62,24608,396.903225806,6.21074612107
58,62,24635,397.338709677,6.19407299883
59,63,25138,399.015873016,6.17592971192
60,62,24317,392.209677419,6.13609422771
61,62,24147,389.467741935,6.17813334188
62,62,24626,397.193548387,6.18152871005
63,59,24918,422.338983051,6.21499828178
64,60,25468,424.466666667,6.17071489376
65,60,26108,435.133333333,6.1682562058
66,66,24838,376.333333333,6.13733315915
67,66,25174,381.424242424,6.07837432375
68,61,26335,431.721311475,6.02142360368
69,64,25287,395.109375,5.97446118996
70,64,25461,397.828125,5.93640245234
71,65,24394,375.292307692,5.9438326058
72,65,25551,393.092307692,5.89739261947
73,63,27017,428.841269841,6.02412698426
74,64,25997,406.203125,6.09666723994
75,66,25683,389.136363636,6.01693772802
76,65,24296,373.784615385,6.09258572075
77,61,25669,420.803278689,6.07831514826
78,63,25306,401.682539683,6.11954203994
79,65,25737,395.953846154,6.21132422629
80,67,27154,405.28358209,5.99898460934
81,65,27455,422.384615385,6.01201183313
82,64,27496,429.625,6.02536289123
83,65,29138,448.276923077,5.97942671998
84,61,26727,438.147540984,5.93781500057
85,63,29841,473.666666667,6.01002486748
86,58,27872,480.551724138,6.15902499908
87,61,31966,524.032786885,6.13798111695
88,65,31568,485.661538462,6.12720413433
89,64,32914,514.28125,6.23120888726
90,66,32635,494.46969697,6.16938178495
91,66,33345,505.227272727,6.10745841506
92,63,33125,525.793650794,6.01745486225
93,67,33227,495.925373134,5.95164809308
94,62,34980,564.193548387,6.09581277397
95,62,34724,560.064516129,6.08893473083
96,64,34835,544.296875,6.09275848403
97,60,36378,606.3,6.13528325353
98,61,36895,604.836065574,6.19856909582
99,61,36772,602.819672131,6.17987025996
100,61,39408,646.032786885,6.05955671433
101,60,38296,638.266666667,6.10786022097
102,64,36539,570.921875,6.01164262415
103,63,37146,589.619047619,6.07244407484
104,69,34862,505.246376812,6.0059012266
105,67,37700,562.686567164,6.00548053318
106,65,36835,566.692307692,6.01918027547
107,64,38544,602.25,6.00877454484
108,65,36723,564.969230769,6.049763449
109,65,37496,576.861538462,6.0594374806
110,65,37697,579.953846154,5.95694142383
111,65,36984,568.984615385,5.95880197718
112,66,36896,559.03030303,5.94105222628
113,60,39409,656.816666667,6.03745973372
114,64,38052,594.5625,6.07867950051
115,58,40627,700.465517241,6.01853189168
116,63,38737,614.873015873,6.0332362885
117,68,36926,543.029411765,5.91359728274
118,63,40899,649.19047619,5.86283581936
119,63,41723,662.26984127,5.89251951621
120,64,37862,591.59375,5.89440290301
121,67,38799,579.089552239,5.88427024024
122,69,36587,530.246376812,5.96886146673
123,66,39004,590.96969697,5.85393352411
124,62,40610,655.0,5.88596472792
125,65,40103,616.969230769,5.98064402641
126,67,38243,570.791044776,5.98344009001
127,65,40698,626.123076923,6.03280854718
128,62,39144,631.35483871,5.98913007924
129,63,41458,658.063492063,6.00267924931
130,67,38634,576.626865672,5.98502358126
131,65,40253,619.276923077,5.94000282735
132,68,37341,549.132352941,5.86039343858
133,69,40127,581.550724638,5.93314232614
134,68,39653,583.132352941,5.91142075187
135,61,43629,715.229508197,5.84477583401
136,61,42385,694.836065574,5.93171050662
137,61,46139,756.37704918,5.92131915831
138,59,45165,765.508474576,5.95773445484
139,58,44583,768.672413793,5.93163614797
140,61,45158,740.295081967,5.91360744569
141,61,44319,726.540983607,5.91192908961
142,65,42494,653.753846154,5.85337139006
143,62,41509,669.5,5.86196388938
144,59,41732,707.322033898,5.85429976856
145,66,39834,603.545454545,5.89576754702
146,66,41463,628.227272727,6.01103316709
147,64,40965,640.078125,6.13162115449
148,63,43345,688.015873016,6.10802764033
149,67,41350,617.164179104,6.00179609368
150,62,44155,712.177419355,6.08409856045
151,67,41695,622.313432836,5.99329125747
152,61,45923,752.836065574,5.93259574361
153,62,44501,717.758064516,5.91179965381
154,62,44137,711.887096774,5.82918813673
155,56,46422,828.964285714,5.84310486139
156,68,41552,611.058823529,5.86941609567
157,62,46248,745.935483871,5.77411840304
158,64,42503,664.109375,5.75461304531
159,65,43372,667.261538462,5.74080625536
160,65,42118,647.969230769,5.81732602375
161,61,44109,723.098360656,5.88977861468
162,68,39514,581.088235294,5.83273336998
163,64,43266,676.03125,5.9242303095
164,66,39851,603.803030303,5.87796886799
165,63,42575,675.793650794,5.99965411027
166,62,44250,713.709677419,5.90549489986
167,61,44487,729.295081967,5.9585280677
168,62,43760,705.806451613,5.99299829002
169,60,44102,735.033333333,5.96529682065
170,60,43997,733.283333333,5.89294375104
171,70,36476,521.085714286,5.88573475524
172,67,39411,588.223880597,5.81599354279
173,66,42036,636.909090909,5.75937498204
174,60,45666,761.1,5.73666886745
175,60,46420,773.666666667,5.77540369718
176,60,42320,705.333333333,5.87301399769
177,58,45570,785.689655172,5.85793327487
178,65,41968,645.661538462,5.81643856262
179,66,39209,594.075757576,5.80486144375
180,65,41576,639.630769231,5.74001428164
181,62,42659,688.048387097,5.75833517761
182,64,40980,640.3125,5.77866501851
183,65,43544,669.907692308,5.82412079561
184,60,46481,774.683333333,5.89759512326
185,65,42629,655.830769231,5.96365582603
186,65,43356,667.015384615,5.99393163454
187,60,43762,729.366666667,6.06650938635
188,68,43409,638.367647059,5.9902344127
189,63,45430,721.111111111,6.09287251961
190,63,43271,686.841269841,6.06318528592
191,63,44224,701.968253968,5.97129450255
192,67,41788,623.701492537,5.92361483668
193,69,37621,545.231884058,5.91165565509
194,62,44614,719.580645161,5.86732064137
195,73,35403,484.97260274,5.82195550349
196,65,42361,651.707692308,5.84467021396
197,70,39852,569.314285714,5.80032330987
198,67,41024,612.298507463,5.85428356759
199,69,39566,573.420289855,5.80613444041
200,68,39130,575.441176471,5.90983693584
