epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,194,85879,442.675257732,1.13688019672
2,190,103476,544.610526316,2.10788215636
3,163,111856,686.233128834,2.95376403277
4,170,115889,681.7,3.61822063131
5,144,127525,885.590277778,4.14672681293
6,104,109518,1053.05769231,4.33177536734
7,78,107434,1377.35897436,4.38719285127
8,92,114363,1243.07608696,4.68193178592
9,101,115847,1147.0,4.7033852137
10,95,120740,1270.94736842,4.87355786453
11,95,120662,1270.12631579,5.17281316353
12,89,125136,1406.02247191,5.2431823926
13,87,123355,1417.87356322,5.3325058215
14,95,126994,1336.77894737,5.49561550582
15,70,129066,1843.8,5.49713456684
16,82,131341,1601.7195122,5.58583109259
17,85,131199,1543.51764706,5.68404356257
18,73,136299,1867.10958904,5.78271320922
19,93,139466,1499.6344086,5.7828088758
20,95,142149,1496.30526316,5.8060494479
21,109,142511,1307.44036697,5.73426922757
22,99,146761,1482.43434343,5.76618554653
23,95,143934,1515.09473684,5.75319239215
24,95,140706,1481.11578947,5.80633896234
25,108,144785,1340.60185185,5.8602856528
26,102,148071,1451.67647059,5.77287898835
27,101,149478,1479.98019802,5.80343898448
28,104,143584,1380.61538462,5.7444534589
29,97,142802,1472.18556701,5.76711710613
30,95,145676,1533.43157895,5.80830441603
31,109,149842,1374.69724771,5.77939995714
32,100,149615,1496.15,5.76842054138
33,98,150556,1536.28571429,5.83495433214
34,96,151786,1581.10416667,5.9016392532
35,91,152396,1674.68131868,5.90974198032
36,96,150000,1562.5,5.82535099968
37,91,145817,1602.38461538,5.81595056171
38,95,147499,1552.62105263,5.80243846708
39,81,145216,1792.79012346,5.83924405603
40,92,146761,1595.22826087,5.84971481686
41,102,149589,1466.55882353,5.82311587054
42,83,150335,1811.26506024,5.8345752376
43,84,148030,1762.26190476,5.77676701825
44,87,145502,1672.43678161,5.75014462042
45,88,148517,1687.69318182,5.76772014854
46,81,145350,1794.44444444,5.78925786424
47,90,151995,1688.83333333,5.78737276696
48,81,153779,1898.50617284,5.79764168911
49,86,149104,1733.76744186,5.75809030322
50,86,147321,1713.03488372,5.77073692104
51,97,147190,1517.42268041,5.81323037302
52,100,149964,1499.64,5.74846369426
53,84,148669,1769.86904762,5.69641474045
54,84,151228,1800.33333333,5.68851479332
55,102,151564,1485.92156863,5.74943133265
56,78,144274,1849.66666667,5.75232553099
57,88,149653,1700.60227273,5.73193348462
58,87,148944,1712.0,5.79418838704
59,91,151940,1669.67032967,5.86009687733
60,87,151312,1739.2183908,5.76472786325
61,91,151361,1663.30769231,5.7826196237
62,83,154834,1865.46987952,5.77922591685
63,96,153765,1601.71875,5.70979859224
64,99,155589,1571.60606061,5.69635003797
65,96,152281,1586.26041667,5.71406842925
66,92,152016,1652.34782609,5.82347327221
67,84,149951,1785.13095238,5.77226114218
68,89,148064,1663.64044944,5.73926521804
69,86,150738,1752.76744186,5.80456847735
70,81,151320,1868.14814815,5.78634828359
71,83,154581,1862.42168675,5.82793659104
72,96,153957,1603.71875,5.79552784347
73,68,148627,2185.69117647,5.76611693893
74,87,152583,1753.82758621,5.75335360954
75,87,150644,1731.54022989,5.87204918693
76,77,153482,1993.27272727,5.85591249399
77,94,152543,1622.79787234,5.85270972409
78,98,156495,1596.8877551,5.85919312967
79,89,152921,1718.21348315,5.84782450614
80,92,150258,1633.23913043,5.84804390536
81,83,149780,1804.57831325,5.86687506716
82,95,154749,1628.93684211,5.92527151751
83,95,156699,1649.46315789,5.87960551179
