epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,509,152750,300.098231827,1.20297861
2,468,196550,419.978632479,1.87889149847
3,382,199100,521.204188482,2.34601095687
4,309,231650,749.676375405,2.89608841994
5,256,253600,990.625,3.24740570243
6,215,227400,1057.6744186,3.51030182198
7,194,266400,1373.19587629,3.70293929367
8,179,292950,1636.59217877,3.89286358324
9,156,316900,2031.41025641,4.10410647838
10,161,328350,2039.44099379,4.32201833559
11,150,318150,2121.0,4.43171677966
12,159,330700,2079.87421384,4.53436128746
13,149,337250,2263.42281879,4.767726655
14,151,341850,2263.90728477,4.9074330373
15,161,352650,2190.37267081,4.9514983605
16,147,347750,2365.6462585,4.95333979663
17,142,358450,2524.29577465,4.98729594624
18,139,355250,2555.75539568,5.05525900928
19,144,363900,2527.08333333,4.99666175581
20,139,365600,2630.21582734,5.04252932051
21,140,369200,2637.14285714,5.13824110229
22,144,378900,2631.25,5.12800266895
23,142,370950,2612.32394366,5.03788737884
24,150,383600,2557.33333333,4.8916180867
25,142,389700,2744.36619718,4.83276465772
26,147,382950,2605.10204082,4.93324894931
27,148,397350,2684.7972973,4.9268339017
28,145,383350,2643.79310345,4.82363335496
29,139,399600,2874.82014388,4.82093928783
30,138,400500,2902.17391304,4.85512403642
31,144,408600,2837.5,4.8092754354
32,139,394250,2836.33093525,4.76120535641
33,132,389700,2952.27272727,4.95703071102
34,133,407050,3060.52631579,4.93292576965
35,133,413250,3107.14285714,4.80744272579
36,129,418150,3241.47286822,4.80743487509
37,136,412000,3029.41176471,4.8493150464
38,138,425550,3083.69565217,4.93209391363
39,129,428450,3321.31782946,4.87485176525
40,130,431500,3319.23076923,4.91504606952
41,128,440600,3442.1875,4.91863825675
42,130,445650,3428.07692308,4.8813650688
43,124,459400,3704.83870968,4.86101526121
44,129,453100,3512.40310078,5.04086554074
45,133,466900,3510.52631579,5.05870236918
46,130,468900,3606.92307692,5.17731840665
47,129,465750,3610.46511628,5.09471034642
48,127,474450,3735.82677165,5.15409617507
49,128,472000,3687.5,5.1694880231
50,121,496500,4103.30578512,5.01148267114
51,120,505200,4210.0,4.98290743571
52,126,497400,3947.61904762,4.90904857073
53,121,500600,4137.19008264,4.8840659582
54,123,503450,4093.08943089,4.94667565903
55,126,498450,3955.95238095,4.94763149179
56,113,513550,4544.69026549,4.92392294478
57,121,514850,4254.95867769,4.88172158761
58,117,511900,4375.21367521,4.96974403831
59,116,525400,4529.31034483,4.9721071694
60,123,511900,4161.78861789,4.92564202123
61,123,521700,4241.46341463,5.04487881837
62,114,534200,4685.96491228,4.96656063694
63,116,534000,4603.44827586,4.91023441713
64,109,548500,5032.11009174,4.89615616765
65,113,537750,4758.84955752,4.86580260497
66,113,538900,4769.02654867,4.93323549293
67,121,541500,4475.20661157,4.91601442616
68,121,528150,4364.87603306,4.92990481478
69,110,560200,5092.72727273,4.88455415555
70,106,577450,5447.64150943,4.8853937649
71,113,554400,4906.19469027,4.83366080395
72,117,539150,4608.11965812,4.86292653566
73,114,563100,4939.47368421,4.95697274155
74,112,560700,5006.25,4.83014144071
75,109,578950,5311.46788991,4.83132665808
76,118,564650,4785.16949153,4.85729110398
77,118,543300,4604.23728814,4.86389739465
78,107,580550,5425.70093458,4.87756265006
79,111,570100,5136.03603604,4.86509652682
80,103,596200,5788.34951456,4.75575732244
81,112,556350,4967.41071429,4.75711533386
82,112,572250,5109.375,4.72854583647
83,112,577050,5152.23214286,4.73661773284
84,106,553150,5218.39622642,4.77893562762
85,110,571800,5198.18181818,4.81247577896
86,116,540950,4663.36206897,4.81475880456
87,107,594000,5551.40186916,4.75606084256
88,104,586150,5636.05769231,4.7451276445
89,110,578100,5255.45454545,4.76708066795
90,106,584150,5510.8490566,4.77214011342
91,108,588850,5452.31481481,4.8376826693
92,100,608600,6086.0,4.79652627553
93,104,575650,5535.09615385,4.90414996614
94,102,616150,6040.68627451,4.96270636873
95,102,614100,6020.58823529,4.97512446432
96,108,603600,5588.88888889,4.91475750925
97,96,623950,6499.47916667,4.95315874787
98,106,617250,5823.11320755,5.0561167851
99,103,608350,5906.31067961,5.05335808106
100,102,602350,5905.39215686,5.04954787317
101,108,592250,5483.7962963,5.02374388224
102,101,614050,6079.7029703,4.96628867721
103,101,606900,6008.91089109,4.9316941832
104,96,630700,6569.79166667,4.87404495867
105,99,638100,6445.45454545,4.93507838867
106,100,613900,6139.0,4.99655985838
107,101,614950,6088.61386139,4.98610069817
108,98,639400,6524.48979592,4.8890705398
109,100,625200,6252.0,4.84542340452
110,101,622450,6162.87128713,4.77949098295
111,102,610500,5985.29411765,4.88358253102
112,95,643000,6768.42105263,4.97046029614
113,87,644000,7402.29885057,4.86908953257
114,99,616800,6230.3030303,4.96163267962
115,98,618600,6312.24489796,4.9819369946
116,97,626250,6456.18556701,4.94266871789
117,100,622750,6227.5,4.97251974108
118,87,647750,7445.40229885,4.89725852732
119,103,629800,6114.5631068,4.85550223348
120,97,640500,6603.09278351,4.98408777091
121,94,644200,6853.19148936,4.96581688309
122,99,638650,6451.01010101,4.92658891956
123,95,640100,6737.89473684,4.89464733286
124,91,647300,7113.18681319,4.95808976284
125,94,621000,6606.38297872,4.97615486168
126,90,664150,7379.44444444,4.93038997223
127,93,642500,6908.60215054,4.80738385395
128,100,640750,6407.5,4.90059216359
129,99,639050,6455.05050505,5.01328513316
130,99,645550,6520.70707071,4.9543203259
131,100,631800,6318.0,4.98864649531
132,96,647700,6746.875,4.94649961418
133,88,683250,7764.20454545,4.92618492257
134,90,630900,7010.0,4.86786158528
135,88,681500,7744.31818182,4.77771633259
136,93,659100,7087.09677419,4.8654412447
137,91,661200,7265.93406593,4.86270470199
138,92,668900,7270.65217391,4.86942720847
139,94,649600,6910.63829787,4.88915290119
140,94,677550,7207.9787234,4.89799364577
141,98,658900,6723.46938776,4.96109136738
142,93,650000,6989.24731183,5.01735729034
143,85,698100,8212.94117647,4.99007069035
144,94,692000,7361.70212766,4.93116371079
145,94,671950,7148.40425532,4.95022413217
146,90,704800,7831.11111111,4.89750295537
147,95,650150,6843.68421053,4.84581096667
148,97,663000,6835.05154639,4.77114917994
149,91,661200,7265.93406593,4.75102203526
150,93,678400,7294.62365591,4.76844692304
151,91,698950,7680.76923077,4.82280765665
152,96,691850,7206.77083333,4.96449255816
153,90,709250,7880.55555556,4.92302584931
154,91,699650,7688.46153846,5.02017732893
155,93,688800,7406.4516129,5.04103759328
156,92,719400,7819.56521739,4.9761448791
157,96,670000,6979.16666667,4.98221001497
158,84,720050,8572.02380952,4.95134898614
159,91,692250,7607.14285714,5.01718844111
160,93,697250,7497.31182796,4.94844929824
161,93,707350,7605.91397849,5.03250627747
162,91,703150,7726.92307692,4.95764508263
163,95,686250,7223.68421053,5.01715441718
164,88,744100,8455.68181818,5.00429013486
165,87,746300,8578.16091954,4.99150757885
166,88,730450,8300.56818182,5.03549772467
167,90,695700,7730.0,5.05766004954
168,91,692950,7614.83516484,5.08419116178
169,94,725250,7715.42553191,5.09694651787
170,92,710850,7726.63043478,5.09249647658
171,87,739850,8504.02298851,5.12547027432
172,91,723750,7953.2967033,5.11824265048
173,89,749100,8416.85393258,5.08202803372
174,85,743700,8749.41176471,5.03634553763
175,91,724650,7963.18681319,5.06863839597
176,90,713950,7932.77777778,5.00907810727
177,86,757850,8812.20930233,5.00241100414
178,88,729150,8285.79545455,4.90260012888
179,84,731250,8705.35714286,4.94063161491
180,88,724800,8236.36363636,4.91249489004
181,86,727900,8463.95348837,4.93048625897
182,86,720100,8373.25581395,4.95407208253
183,86,766850,8916.86046512,4.99317748726
184,88,738550,8392.61363636,4.97631518018
185,83,783250,9436.74698795,4.96603292497
186,84,780700,9294.04761905,4.9756190262
187,83,794350,9570.48192771,5.04028682253
188,79,779200,9863.29113924,5.04458452836
189,84,760100,9048.80952381,5.01020828359
190,87,756000,8689.65517241,4.97720715781
191,87,741700,8525.28735632,5.00107408757
192,82,782050,9537.19512195,4.97390991544
193,85,739000,8694.11764706,5.00517997183
194,83,769850,9275.30120482,5.04305565745
195,85,761850,8962.94117647,5.0541309089
196,84,761800,9069.04761905,4.96033059736
197,85,751600,8842.35294118,5.06121163429
198,92,727200,7904.34782609,4.93631833227
199,83,790500,9524.09638554,4.84490996236
200,78,813800,10433.3333333,4.96815725099
