epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,153,129210,844.509803922,1.49375676878
2,177,119040,672.542372881,2.80520630181
3,160,131210,820.0625,3.66211658373
4,143,117210,819.65034965,4.04916090347
5,159,141970,892.893081761,4.43555064958
6,162,137930,851.419753086,4.4751513382
7,166,148300,893.373493976,4.34305526324
8,183,150400,821.857923497,4.13944737937
9,165,150960,914.909090909,3.92406268805
10,160,133890,836.8125,3.74075977223
11,149,125290,840.872483221,3.5566998486
12,173,156170,902.716763006,3.38482626908
13,141,123620,876.737588652,3.22235835398
14,152,139730,919.276315789,3.14403683819
15,168,146430,871.607142857,2.93489054941
16,159,152320,957.987421384,2.9512573451
17,170,150740,886.705882353,2.88883656252
18,155,140900,909.032258065,2.80539697647
19,158,151260,957.341772152,2.72933065354
20,175,157750,901.428571429,2.590730246
21,189,166560,881.26984127,2.62011310691
22,180,157850,876.944444444,2.55485625093
23,159,156580,984.779874214,2.53063144917
24,171,150310,879.005847953,2.39948288145
25,169,163510,967.514792899,2.34879434998
26,163,155730,955.398773006,2.33686813506
27,170,162890,958.176470588,2.29798042996
28,167,157590,943.652694611,2.26440253048
29,170,159170,936.294117647,2.20449676148
30,167,153120,916.886227545,2.2248333182
31,161,162630,1010.1242236,2.16150856736
32,188,167320,890.0,2.16133125044
33,190,164100,863.684210526,2.20640565729
34,176,157940,897.386363636,2.17516643942
35,174,143400,824.137931034,2.20645316771
36,173,156960,907.283236994,2.19964068357
37,187,169740,907.700534759,2.20685955368
38,154,166090,1078.50649351,2.19585293261
39,201,167370,832.686567164,2.22175598897
40,168,155610,926.25,2.22259260851
41,179,164530,919.162011173,2.24609760461
42,165,157620,955.272727273,2.16417496666
43,190,167750,882.894736842,2.17789554612
44,169,156660,926.982248521,2.12067471029
45,169,167670,992.130177515,2.11305261253
46,175,169620,969.257142857,2.1648738136
47,156,141950,909.935897436,2.12859979465
48,190,169680,893.052631579,2.0475754166
49,183,172320,941.639344262,1.98201968061
50,166,154390,930.060240964,1.98970659873
51,179,147270,822.737430168,1.96860298333
52,176,163640,929.772727273,1.99526341577
53,170,153420,902.470588235,2.0209713333
54,197,146580,744.060913706,2.05355540137
55,187,164840,881.497326203,2.08232233775
56,203,171530,844.975369458,1.99558040518
57,179,165430,924.189944134,1.98081404622
58,185,162000,875.675675676,1.97417699159
59,176,159780,907.840909091,1.97131938645
60,173,158910,918.554913295,1.9767022291
61,179,161940,904.69273743,1.97073434224
62,167,151910,909.640718563,1.98178082366
63,161,151520,941.118012422,1.97509637713
64,167,154350,924.251497006,1.99095350999
65,169,156700,927.218934911,1.95109163181
66,205,161470,787.658536585,1.92209428053
67,189,169130,894.867724868,1.89441405504
68,193,171840,890.362694301,1.89358381741
69,168,148850,886.011904762,1.90960192737
70,168,160390,954.702380952,1.88603699273
71,166,159720,962.168674699,1.83554852877
72,162,149340,921.851851852,1.79434709898
73,174,145250,834.770114943,1.77700947485
74,160,155710,973.1875,1.76930007996
75,189,154340,816.613756614,1.79668229427
76,160,157640,985.25,1.79484471459
77,176,158820,902.386363636,1.80729803116
78,170,154020,906.0,1.80423034796
79,153,156640,1023.79084967,1.85599030279
80,174,157500,905.172413793,1.86453341859
81,180,170590,947.722222222,1.8710430791
82,181,163940,905.745856354,1.93501586304
83,184,158080,859.130434783,1.93104623435
84,180,143720,798.444444444,1.90354611996
85,171,161030,941.695906433,1.92153494635
86,178,154270,866.685393258,1.91494594307
87,181,161850,894.198895028,1.90725590985
88,160,161970,1012.3125,1.8497660238
89,186,153850,827.150537634,1.85547057751
90,152,151210,994.802631579,1.89860000381
91,172,163650,951.453488372,1.90239209445
92,189,169130,894.867724868,1.88722159117
