epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,211,796800,3776.30331754,0.801959804762
2,190,1001600,5271.57894737,1.19515218422
3,159,1112100,6994.33962264,1.51487797141
4,172,913100,5308.72093023,1.69225662697
5,174,1065000,6120.68965517,1.79996797388
6,193,1056000,5471.50259067,1.89627052707
7,100,1407900,14079.0,1.82745385525
8,148,1262100,8527.7027027,1.69217429769
9,131,1273300,9719.84732824,1.63172849219
10,112,1301600,11621.4285714,1.64528656132
11,126,1393000,11055.5555556,1.60276815029
12,93,1597000,17172.0430108,1.66174186952
13,111,1415400,12751.3513514,1.70011507942
14,73,1736100,23782.1917808,1.80279083826
15,135,1116800,8272.59259259,1.83194527087
16,115,1266300,11011.3043478,1.81901002849
17,74,1649600,22291.8918919,1.87919975973
18,105,1460200,13906.6666667,1.87930205363
19,63,2008300,31877.7777778,1.95668305846
20,83,1452500,17500.0,1.95850779328
21,86,1465900,17045.3488372,1.96219030558
22,63,1733800,27520.6349206,1.97680944264
23,81,1599800,19750.617284,2.07207913447
24,61,1861300,30513.1147541,2.10677714561
25,61,1821200,29855.7377049,2.09231081924
26,61,1834200,30068.852459,2.15451185354
27,76,1587300,20885.5263158,2.2695219908
28,65,1769600,27224.6153846,2.33049590476
29,56,1875200,33485.7142857,2.35037976331
30,55,1866800,33941.8181818,2.36034241953
31,53,1927100,36360.3773585,2.28229712283
32,72,1591800,22108.3333333,2.25579251398
33,56,1744200,31146.4285714,2.18235332272
34,61,1643900,26949.1803279,2.24989362901
35,58,1834900,31636.2068966,2.18960748635
36,48,1911600,39825.0,2.28373730592
37,58,1817600,31337.9310345,2.32996131595
38,54,1768000,32740.7407407,2.37019249272
39,35,2214300,63265.7142857,2.41721802504
40,44,1910800,43427.2727273,2.33668116877
41,40,1984300,49607.5,2.40392643055
42,49,1921500,39214.2857143,2.37274526227
43,39,2057400,52753.8461538,2.34732454362
44,35,1999400,57125.7142857,2.42030372145
45,36,2077500,57708.3333333,2.47646010147
46,34,2044500,60132.3529412,2.47221357265
47,36,2037500,56597.2222222,2.47281683567
48,30,2138500,71283.3333333,2.49629390886
49,52,1739600,33453.8461538,2.52795360605
50,39,1953100,50079.4871795,2.49024670429
51,28,2434900,86960.7142857,2.51230128447
52,29,2253200,77696.5517241,2.52054237468
53,29,2238900,77203.4482759,2.60030734933
54,25,2429600,97184.0,2.59716945532
55,26,2306000,88692.3076923,2.64062515796
56,25,2390300,95612.0,2.53629590501
57,24,2361500,98395.8333333,2.50317446526
58,22,2560800,116400.0,2.48420014873
59,28,2320500,82875.0,2.5735003032
60,19,2471700,130089.473684,2.5342249065
