epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,152,6130,40.3289473684,0.756537493626
2,202,22670,112.227722772,1.17981230262
3,208,27970,134.471153846,1.47519833592
4,198,30980,156.464646465,1.7900981357
5,166,38290,230.662650602,2.24559765291
6,180,40350,224.166666667,2.54936133078
7,160,44970,281.0625,2.73171160734
8,162,44700,275.925925926,2.81568308654
9,150,49320,328.8,2.84127918882
10,139,50850,365.827338129,2.87572706674
11,124,53660,432.741935484,2.99218144767
12,132,54160,410.303030303,2.97805623346
13,122,56110,459.918032787,2.96434279233
14,119,57870,486.302521008,3.04663538486
15,121,58280,481.652892562,3.02756069631
16,113,58910,521.327433628,3.0574462971
17,130,57890,445.307692308,3.18659143772
18,115,60860,529.217391304,3.21197049349
19,112,60910,543.839285714,3.23725597226
20,123,59160,480.975609756,3.31872441331
21,124,60130,484.919354839,3.31381598327
22,123,59680,485.203252033,3.28157224079
23,113,61800,546.902654867,3.30225017803
24,114,60180,527.894736842,3.29838647543
25,117,61740,527.692307692,3.33340713007
26,118,60400,511.86440678,3.26636099877
27,110,62660,569.636363636,3.2317555782
28,116,61770,532.5,3.18376018869
29,133,58920,443.007518797,3.25695657337
30,113,62470,552.831858407,3.24666875379
31,122,60940,499.508196721,3.15803774794
32,115,60800,528.695652174,3.26115566181
33,113,62140,549.911504425,3.26428058756
34,122,60060,492.295081967,3.22898188101
35,118,61810,523.813559322,3.19639560429
36,120,60750,506.25,3.1126246855
37,115,61590,535.565217391,3.14137901787
38,114,62620,549.298245614,3.15974665757
39,125,60490,483.92,3.20275974775
40,114,62430,547.631578947,3.18846448025
41,108,63390,586.944444444,3.24521691034
42,123,60610,492.764227642,3.17235349706
43,122,60340,494.590163934,3.2510465706
44,122,61750,506.147540984,3.21078812633
45,121,60710,501.73553719,3.15851611553
46,116,62560,539.310344828,3.26658560974
47,112,62640,559.285714286,3.17634957103
48,118,61520,521.355932203,3.04296870642
49,114,62670,549.736842105,3.03696103558
50,113,62060,549.203539823,3.08060680344
51,123,60270,490.0,3.10469983711
52,122,60550,496.31147541,3.13448262624
53,113,62510,553.185840708,3.14246149781
54,111,62840,566.126126126,3.09144047325
55,112,63590,567.767857143,3.14835633176
56,122,60830,498.606557377,3.16575803224
57,115,62240,541.217391304,3.1703473998
58,110,62650,569.545454545,3.09846715543
59,113,62670,554.601769912,3.04686030446
60,115,61680,536.347826087,3.02865054556
61,118,61970,525.169491525,3.04110080028
62,125,60980,487.84,2.99125618031
63,117,62180,531.452991453,2.98343910858
64,123,61090,496.666666667,2.95647927867
65,123,60800,494.308943089,2.96222398645
66,118,62920,533.220338983,3.03553300935
67,108,64080,593.333333333,2.94383320899
68,121,61400,507.438016529,3.01776491868
69,114,63230,554.649122807,2.99789765769
70,109,64350,590.366972477,3.06928023717
71,114,63220,554.561403509,3.15383110052
72,120,61710,514.25,3.13108893612
73,116,62950,542.672413793,3.00282313646
74,113,62740,555.221238938,3.05363119698
75,118,61880,524.406779661,3.14680550061
76,125,61430,491.44,3.14228520447
77,118,62960,533.559322034,3.0850059736
78,110,63720,579.272727273,3.15421310385
79,119,61950,520.588235294,3.09665320204
80,109,64250,589.449541284,3.06094229687
81,117,62780,536.581196581,3.13277084423
82,110,64470,586.090909091,3.0571322076
83,110,64100,582.727272727,3.11136737415
84,113,63290,560.088495575,3.02264675087
85,121,62000,512.396694215,3.0923876052
86,116,62780,541.206896552,3.1510905608
87,112,63400,566.071428571,3.14687832135
88,116,63570,548.017241379,3.12448915041
89,112,63290,565.089285714,3.11467963875
90,112,64190,573.125,3.1507461885
91,112,63780,569.464285714,3.17806044192
92,109,63820,585.504587156,3.17712306066
93,117,62850,537.179487179,3.15685917736
94,116,62590,539.568965517,3.16762437512
95,115,63630,553.304347826,3.07101432367
96,120,62720,522.666666667,3.06756135677
97,113,63970,566.10619469,2.99799087786
98,113,63400,561.061946903,3.09308106533
99,112,64220,573.392857143,3.11664218177
100,110,63380,576.181818182,3.03143164079
101,116,63890,550.775862069,3.04576631702
102,117,62920,537.777777778,3.00790256998
103,113,64010,566.460176991,3.00006281396
104,110,64230,583.909090909,3.04175801223
105,113,63750,564.159292035,2.96956160242
106,118,63230,535.847457627,3.03165484115
107,121,62560,517.024793388,3.08508256972
108,117,62920,537.777777778,3.06410620074
109,116,62760,541.034482759,3.08102869338
110,111,63730,574.144144144,3.08334149277
111,115,63420,551.47826087,3.0774222187
112,114,64040,561.754385965,3.03726236933
113,111,63970,576.306306306,3.04732084248
114,116,63170,544.568965517,3.06587088301
115,116,62930,542.5,3.06703578077
116,120,62640,522.0,3.06898750485
117,110,64490,586.272727273,3.04047582157
118,115,63560,552.695652174,3.07049936277
119,120,62560,521.333333333,3.02531174824
120,117,63640,543.931623932,3.09896551493
121,116,63740,549.482758621,3.07220912988
122,109,64820,594.678899083,3.04144480039
123,113,64350,569.469026549,3.01866653133
124,114,63340,555.614035088,3.01209589314
125,117,63140,539.658119658,3.01713004831
126,120,63000,525.0,3.05777773633
127,112,63920,570.714285714,3.0483914323
128,116,63910,550.948275862,3.00842413893
129,110,64230,583.909090909,3.08327948858
130,124,60840,490.64516129,3.06636626506
131,114,63690,558.684210526,3.00195804459
132,116,63110,544.051724138,2.98377019371
133,119,62690,526.806722689,3.02725564607
134,116,64140,552.931034483,3.03499580856
135,113,64810,573.539823009,3.04262472857
136,112,64430,575.267857143,2.98863826992
137,114,64120,562.456140351,3.00352211652
