epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,98,32032,326.857142857,0.778771690503
2,78,37500,480.769230769,1.07806085322
3,80,34084,426.05,1.31284382007
4,65,38164,587.138461538,1.54197065156
5,27,53860,1994.81481481,1.80605124855
6,25,89870,3594.8,1.97297678473
7,28,111590,3985.35714286,2.13409838056
8,30,120508,4016.93333333,2.38249854505
9,32,130592,4081.0,2.51766717126
10,28,134964,4820.14285714,2.67668152065
11,27,140120,5189.62962963,2.88076893674
12,30,131168,4372.26666667,2.96958292389
13,27,130888,4847.7037037,2.9544807988
14,26,140726,5412.53846154,3.04337541892
15,29,139980,4826.89655172,3.04453667107
16,28,126880,4531.42857143,3.01796214367
17,28,126690,4524.64285714,3.01373305959
18,30,134976,4499.2,3.04695909668
19,26,150878,5803.0,3.14332759335
20,28,138846,4958.78571429,3.13166269636
21,26,140642,5409.30769231,3.10208244371
22,27,139800,5177.77777778,3.08250349374
23,25,144790,5791.6,3.15442561116
24,25,137668,5506.72,3.09829090558
25,25,153672,6146.88,3.1525798743
26,24,148876,6203.16666667,3.11975062271
27,26,141360,5436.92307692,3.08894929581
28,25,145676,5827.04,3.04954309812
29,25,151916,6076.64,3.06228519664
30,27,144898,5366.59259259,3.01024482882
31,26,144950,5575.0,3.03191152155
32,28,137302,4903.64285714,3.05109439053
33,26,146860,5648.46153846,3.0395521061
34,24,158170,6590.41666667,2.95593243714
35,25,145646,5825.84,2.93574944478
36,21,156772,7465.33333333,2.95121513736
37,25,150732,6029.28,2.95666276864
38,27,146148,5412.88888889,2.96108873873
39,27,148978,5517.7037037,2.9625817273
40,25,149498,5979.92,2.92996996432
41,24,154180,6424.16666667,2.93925033829
42,25,156342,6253.68,2.96118733792
43,28,146216,5222.0,2.99578852007
44,25,149406,5976.24,3.00877923898
45,24,159404,6641.83333333,3.05267687333
46,26,150882,5803.15384615,3.06421326437
47,24,156768,6532.0,3.03017646354
48,24,161276,6719.83333333,3.05206390949
49,26,146902,5650.07692308,3.00653303835
50,25,153514,6140.56,3.04931679979
51,24,167086,6961.91666667,3.02059852035
52,27,148884,5514.22222222,3.02737799136
53,27,153362,5680.07407407,2.99229768475
54,27,149578,5539.92592593,2.99975835761
55,26,160376,6168.30769231,2.97208639339
56,24,160228,6676.16666667,2.99583433632
57,26,155418,5977.61538462,2.99254454447
58,27,152070,5632.22222222,2.92329640986
59,26,160728,6181.84615385,2.9124347725
60,25,161620,6464.8,2.9251233339
61,24,166406,6933.58333333,2.93862261418
62,25,161026,6441.04,2.96114910932
63,27,166760,6176.2962963,2.96829803544
64,23,165058,7176.43478261,3.00361666214
65,25,162866,6514.64,3.02588071265
66,26,162088,6234.15384615,3.00036559256
67,28,158800,5671.42857143,3.00437320605
68,28,158516,5661.28571429,3.01459689104
69,26,156378,6014.53846154,3.04509000709
70,24,165222,6884.25,3.04356830559
71,25,160416,6416.64,3.04369699495
72,25,160294,6411.76,3.02159878385
73,27,162900,6033.33333333,3.00497748638
74,25,159772,6390.88,3.03640870408
75,24,161656,6735.66666667,3.10261285868
76,25,156460,6258.4,3.05742682816
77,23,173192,7530.08695652,3.07452834564
78,22,165676,7530.72727273,3.01687004396
79,25,160824,6432.96,2.96589516084
