epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,70,-1921,-27.4428571429,1.16270801369
2,70,-1197,-17.1,2.00938235882
3,77,557,7.23376623377,2.84314221617
4,80,1059,13.2375,3.4574974221
5,70,1402,20.0285714286,3.73054680403
6,73,1442,19.7534246575,3.78972662479
7,95,4895,51.5263157895,4.05498629019
8,101,5507,54.5247524752,4.43904336609
9,123,7261,59.0325203252,4.88634836666
10,141,9563,67.8226950355,5.55681736648
11,152,10694,70.3552631579,6.12413120389
12,161,11472,71.2546583851,6.6556558881
13,175,12766,72.9485714286,7.21738298543
14,244,21233,87.0204918033,8.31468696639
15,274,23616,86.1897810219,9.33786913961
16,216,18552,85.8888888889,10.580185568
17,232,19743,85.099137931,11.0657993625
18,299,26979,90.2307692308,11.7644045936
19,268,23687,88.3843283582,12.6398123448
20,277,24408,88.1155234657,13.5816060762
21,277,24419,88.155234657,14.2563548101
22,270,24346,90.1703703704,14.4484289002
23,279,24919,89.3154121864,14.7610388787
24,277,24580,88.7364620939,14.480927075
25,295,26739,90.6406779661,14.8947003554
26,293,26350,89.9317406143,14.7345664464
27,276,24505,88.7862318841,14.9196265173
28,272,24115,88.6580882353,14.7396473561
29,298,27095,90.9228187919,14.5715524407
30,288,26085,90.5729166667,14.533119036
31,270,23834,88.2740740741,14.5175799309
32,277,24918,89.9566787004,13.8464376707
33,260,23146,89.0230769231,13.5968558286
34,250,22606,90.424,13.9637247324
35,274,25028,91.3430656934,13.4642992423
36,256,22915,89.51171875,13.1967876528
37,195,16769,85.9948717949,12.9376008285
38,199,17238,86.6231155779,12.4876149742
39,204,18093,88.6911764706,12.2224142025
40,194,16699,86.0773195876,12.1877861156
41,178,15413,86.5898876404,12.2802213839
42,243,22039,90.695473251,12.1491794326
43,228,20709,90.8289473684,12.2324303249
44,233,20946,89.8969957082,12.2999862006
45,216,19087,88.3657407407,12.0394202299
46,221,19671,89.0090497738,12.151051546
47,223,19976,89.5784753363,12.1574348883
48,238,21688,91.1260504202,11.9397270298
49,220,19567,88.9409090909,12.0511496819
50,241,21666,89.9004149378,11.9510424077
51,231,20654,89.4112554113,12.1553213004
52,225,19735,87.7111111111,11.9402601331
53,218,19345,88.7385321101,12.061749972
54,231,20922,90.5714285714,12.0920467491
55,243,22105,90.9670781893,12.2981239966
56,242,21748,89.867768595,12.3451505823
57,230,20558,89.3826086957,12.5168913087
58,245,22258,90.8489795918,12.4628200807
59,229,20692,90.3580786026,12.4948143245
60,238,21633,90.8949579832,12.2628596921
61,242,22080,91.2396694215,12.4862650098
62,246,22376,90.9593495935,12.4058397254
63,240,21919,91.3291666667,12.1829488848
64,254,23464,92.3779527559,12.3223612648
65,243,21991,90.4979423868,12.0571664377
66,240,21925,91.3541666667,11.8643492676
67,252,23053,91.4801587302,12.1359516601
68,249,22782,91.4939759036,11.9388586378
69,244,22398,91.7950819672,12.2572402593
70,255,23519,92.231372549,12.4759661497
71,251,23150,92.2310756972,12.7206847966
72,243,22243,91.5349794239,12.5610794041
73,253,23191,91.6640316206,12.5797863826
74,248,22763,91.7862903226,12.4675886553
75,258,23886,92.5813953488,12.4296507739
76,229,20891,91.2270742358,12.6249213122
77,222,19921,89.7342342342,12.6790195651
78,220,19789,89.95,12.5000642438
79,261,24256,92.9348659004,12.6226542554
80,226,20562,90.982300885,12.695399106
81,247,22964,92.971659919,12.7668135788
82,230,21076,91.6347826087,12.6664390948
83,248,22924,92.435483871,12.5796197768
84,247,22767,92.1740890688,12.6084358042
85,224,20546,91.7232142857,12.598596766
86,212,19105,90.1179245283,12.5666836498
87,244,22331,91.5204918033,12.6540918393
88,235,21257,90.4553191489,12.4041689761
89,221,19800,89.592760181,12.2930130849
90,231,20773,89.9264069264,12.2639154608
91,265,24449,92.2603773585,12.1287380598
92,244,22557,92.4467213115,12.4008717828
93,238,21738,91.3361344538,12.5323189451
94,243,22372,92.0658436214,12.4697879172
95,246,22503,91.4756097561,12.594192711
96,237,21696,91.5443037975,12.6622132092
97,235,21410,91.1063829787,12.7142712319
98,237,21731,91.6919831224,12.4229464972
99,268,24909,92.9440298507,12.4070782447
100,240,22089,92.0375,12.6538320434
101,252,23453,93.0674603175,12.9364607057
102,227,20868,91.9295154185,13.046078008
103,240,22199,92.4958333333,12.8721073832
104,239,22078,92.3765690377,12.9287565957
105,224,20376,90.9642857143,12.9872519095
106,231,21116,91.4112554113,13.0302904135
107,240,22029,91.7875,13.1674715066
108,244,22554,92.4344262295,13.1198809336
109,257,23869,92.8754863813,13.1959331919
110,226,20742,91.7787610619,13.1514010907
111,235,21637,92.0723404255,13.2649558083
112,217,19880,91.6129032258,13.1396647041
113,240,22137,92.2375,13.3030795624
114,219,20011,91.3744292237,13.4701998162
115,240,22169,92.3708333333,13.7737880605
116,237,21921,92.4936708861,13.7756524094
117,226,20622,91.2477876106,13.940965327
118,221,20030,90.6334841629,13.8608587187
119,227,20953,92.3039647577,13.5422266695
120,242,22608,93.4214876033,13.422999994
121,231,21358,92.4588744589,13.0670965419
122,228,21010,92.149122807,13.2560239213
123,239,22039,92.2133891213,13.3360542069
124,230,21098,91.7304347826,13.237102464
125,222,20442,92.0810810811,13.2623869113
126,227,21087,92.8942731278,12.9368545736
127,235,21708,92.3744680851,12.9217098853
128,247,22997,93.1052631579,13.1623111342
129,231,21288,92.1558441558,13.0896362082
130,242,22617,93.458677686,13.1442252347
131,232,21540,92.8448275862,13.1591593818
132,228,20999,92.100877193,13.2947723421
133,250,23344,93.376,13.3560783752
134,252,23541,93.4166666667,13.5105699541
135,234,21681,92.6538461538,13.2827636027
136,232,21500,92.6724137931,13.1985451918
137,223,20435,91.6367713004,13.4030840292
138,229,21243,92.7641921397,13.5821087921
139,239,22392,93.690376569,13.6221593686
140,245,22889,93.4244897959,13.609282807
141,247,23049,93.3157894737,13.6082880942
142,234,21729,92.858974359,13.4365797469
143,224,20674,92.2946428571,13.6983072414
144,228,21208,93.0175438596,13.6619018111
145,227,20994,92.4845814978,13.3721545786
146,239,22358,93.5481171548,13.1021922198
147,234,21831,93.2948717949,13.2458953802
148,228,21215,93.048245614,13.4002839873
149,231,21517,93.1471861472,13.5665392599
150,224,20873,93.1830357143,13.8834515447
151,221,20467,92.6108597285,14.0459355874
152,228,21053,92.3377192982,13.978314833
153,229,21279,92.9213973799,13.9792182887
154,231,21426,92.7532467532,13.9798827602
155,223,20567,92.2286995516,14.0229661952
156,238,22356,93.9327731092,14.1705199274
157,222,20790,93.6486486486,14.2440658522
158,220,20470,93.0454545455,14.4311881684
159,218,20199,92.6559633028,14.1436459162
160,231,21505,93.0952380952,14.2331606436
161,219,20137,91.9497716895,14.1639980624
162,226,21002,92.9292035398,13.939911041
163,236,22174,93.9576271186,13.8932993633
164,216,20065,92.8935185185,13.8496836382
165,242,22779,94.1280991736,13.9519176409
