epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,153,507137,3314.62091503,4.4396519815
2,193,444011,2300.57512953,9.54214178055
3,173,435634,2518.11560694,13.2474119958
4,176,426594,2423.82954545,15.0461851537
5,194,517051,2665.21134021,16.7018237069
6,183,509752,2785.53005464,16.8770879443
7,197,509934,2588.49746193,17.054903344
8,195,611969,3138.3025641,16.3379066154
9,195,640468,3284.45128205,15.6974457565
10,200,632004,3160.02,15.6735247438
11,204,639128,3132.98039216,15.337635273
12,204,692056,3392.43137255,14.7258627778
13,165,621809,3768.53939394,14.2808977607
14,212,718910,3391.08490566,13.9451376531
15,190,703322,3701.69473684,13.7629630907
16,218,713341,3272.20642202,13.4625330705
17,212,734150,3462.97169811,13.630303137
18,207,743314,3590.88888889,13.3843948403
19,221,765696,3464.68778281,13.2871362551
20,214,743826,3475.82242991,13.2646064404
21,213,782573,3674.05164319,13.5582293366
22,204,802775,3935.17156863,13.4667597517
23,213,777636,3650.87323944,13.3646251562
24,213,769725,3613.73239437,13.3811601952
25,204,725198,3554.89215686,13.2900238621
26,195,703732,3608.88205128,13.1713624408
27,218,782078,3587.51376147,13.1722690547
28,198,776997,3924.22727273,13.0882325157
29,212,778370,3671.55660377,12.9796527875
30,212,794128,3745.88679245,12.9944199203
31,193,748766,3879.61658031,12.7987028536
32,208,808038,3884.79807692,12.7655685541
33,204,765194,3750.95098039,12.9049289569
34,220,783275,3560.34090909,12.9702704438
35,217,789304,3637.34562212,12.9656042762
36,217,794706,3662.23963134,12.939876579
37,215,769146,3577.42325581,12.7919887673
38,223,759506,3405.85650224,12.8239672548
39,199,794557,3992.74874372,12.8831692835
40,213,818241,3841.50704225,12.8031587985
41,219,768620,3509.6803653,12.8220582405
42,211,794781,3766.73459716,12.8025259239
43,216,832493,3854.13425926,12.8420332947
44,212,785716,3706.20754717,12.8246825792
45,217,824144,3797.89861751,12.8853066284
46,206,794776,3858.13592233,12.7933218288
47,233,761304,3267.39914163,12.9089601626
48,221,824375,3730.20361991,12.8535530102
49,230,794608,3454.8173913,12.9444269028
50,232,798772,3442.98275862,13.0434381664
51,226,757330,3351.01769912,13.0807445861
52,228,792954,3477.86842105,13.0395426669
53,220,776927,3531.48636364,13.1308459969
54,241,771662,3201.91701245,13.1276069326
55,218,811369,3721.87614679,12.9126322578
56,204,824192,4040.15686275,12.954714695
57,217,803761,3703.96774194,13.0979376697
58,220,768187,3491.75909091,12.8466978507
59,219,758160,3461.91780822,12.7444004817
60,220,819920,3726.90909091,12.725334691
61,236,795278,3369.8220339,12.816102194
62,219,838364,3828.14611872,12.7923364584
63,223,788358,3535.23766816,12.9035520758
64,217,783666,3611.3640553,12.867918705
65,218,817479,3749.90366972,12.7612760623
66,229,804284,3512.15720524,12.8550991196
67,223,813664,3648.71748879,12.9441941551
68,221,788043,3565.80542986,12.8922764597
69,229,805178,3516.06113537,12.9905830678
70,216,843417,3904.70833333,13.0351531669
71,232,860715,3709.97844828,12.8643460358
72,229,810820,3540.69868996,12.6909091031
73,214,837609,3914.06074766,12.8921794068
