epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,163,44400,272.392638037,0.899443453718
2,220,66600,302.727272727,1.22024281316
3,85,74900,881.176470588,1.39934121402
4,60,58100,968.333333333,1.55898120829
5,97,103100,1062.88659794,1.65722797992
6,72,50700,704.166666667,1.72029484217
7,116,108900,938.793103448,1.68084802384
8,176,180300,1024.43181818,1.78313686953
9,150,134300,895.333333333,1.87553536427
10,139,123800,890.647482014,1.91748009967
11,152,167400,1101.31578947,1.9131311654
12,75,105000,1400.0,1.91193554115
13,137,151500,1105.83941606,1.93926739999
14,125,160000,1280.0,1.98803945838
15,158,169500,1072.78481013,2.04039317979
16,126,152700,1211.9047619,2.02527441415
17,119,168200,1413.44537815,2.01237413607
18,85,112000,1317.64705882,1.94671967915
19,64,79800,1246.875,1.95136133949
20,94,133700,1422.34042553,1.9137709316
21,124,182800,1474.19354839,1.95255916045
22,120,138100,1150.83333333,1.88108491731
23,127,181000,1425.19685039,1.88449734294
24,130,177800,1367.69230769,1.82947820313
25,75,120600,1608.0,1.84231999852
26,146,183600,1257.53424658,1.94160624387
27,113,157000,1389.38053097,2.11876178206
28,103,144000,1398.05825243,2.17228617126
29,115,175400,1525.2173913,2.42528525077
30,72,114500,1590.27777778,2.45527159652
31,98,134500,1372.44897959,2.48936600083
32,78,125800,1612.82051282,2.45781699183
33,94,181000,1925.53191489,2.43083535143
34,64,120100,1876.5625,2.38068606548
35,113,186500,1650.44247788,2.32145938834
36,154,213700,1387.66233766,2.45078754498
37,125,226700,1813.6,2.44927889116
38,107,223000,2084.11214953,2.49611004256
39,111,226100,2036.93693694,2.4978368902
40,105,201300,1917.14285714,2.55112939587
41,96,240200,2502.08333333,2.50393322942
42,102,211100,2069.60784314,2.38765499304
43,120,281500,2345.83333333,2.42978953101
44,141,257100,1823.40425532,2.37710244681
45,122,217400,1781.96721311,2.37269297222
46,159,368000,2314.46540881,2.37293690834
47,128,279300,2182.03125,2.43247313809
48,128,310300,2424.21875,2.36293344159
49,114,272500,2390.35087719,2.41877615455
50,100,228900,2289.0,2.39326367726
51,109,238900,2191.74311927,2.4079596039
52,105,239600,2281.9047619,2.45802030615
53,134,320600,2392.53731343,2.4789829105
54,91,243000,2670.32967033,2.38665848285
55,119,258500,2172.26890756,2.37911252494
56,122,299800,2457.37704918,2.37748595612
57,119,281100,2362.18487395,2.36465382067
58,88,251300,2855.68181818,2.36600655322
59,115,282300,2454.7826087,2.40288837681
60,130,323900,2491.53846154,2.41644283896
61,133,330800,2487.21804511,2.40240074112
62,166,372400,2243.37349398,2.36366712607
63,83,199900,2408.43373494,2.33733295784
64,125,303800,2430.4,2.36104028317
65,100,235300,2353.0,2.37594116003
66,117,304400,2601.70940171,2.40927678458
67,109,256100,2349.5412844,2.30023026173
68,141,352300,2498.58156028,2.29703571383
69,147,350800,2386.39455782,2.26975701408
70,129,296500,2298.4496124,2.27481512939
