epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,33,374500,11348.4848485,2.78705465743
2,32,298400,9325.0,5.54411428422
3,39,1187900,30458.974359,7.6885021704
4,29,619600,21365.5172414,8.73464988559
5,37,1805500,48797.2972973,10.2288927297
6,22,1171400,53245.4545455,11.1913594599
7,36,1232500,34236.1111111,12.0862720285
8,33,2528600,76624.2424242,12.5340061368
9,34,2959600,87047.0588235,12.7732766498
10,33,2895200,87733.3333333,12.9116009642
11,34,2856000,84000.0,13.2140528277
12,33,1979500,59984.8484848,13.4673204033
13,33,2986100,90487.8787879,13.6873589195
14,33,2847800,86296.969697,13.8308097475
15,33,2710000,82121.2121212,13.7035671699
16,31,2975000,95967.7419355,13.7832386933
17,1,75300,75300.0,13.5784520753
18,32,2869300,89665.625,13.683217385
19,31,3112700,100409.677419,13.8004837029
20,30,2946600,98220.0,13.6375711332
21,31,3119800,100638.709677,13.7290504593
22,31,3116300,100525.806452,13.7681757592
23,32,2783500,86984.375,13.6790045345
24,30,3082600,102753.333333,13.5837326237
25,31,3041600,98116.1290323,13.5746343234
26,35,3068700,87677.1428571,13.5810797406
27,32,3080800,96275.0,13.4396329074
28,35,2827600,80788.5714286,13.4693750824
29,31,3171700,102312.903226,13.5383639829
30,32,3177700,99303.125,13.6010981841
31,33,2898500,87833.3333333,13.5169025361
32,31,3212600,103632.258065,13.5612339938
33,33,2801600,84896.969697,13.6081260658
34,32,3101800,96931.25,13.5441132657
35,33,3057700,92657.5757576,13.5500698048
36,31,3136500,101177.419355,13.5310348441
37,32,3133300,97915.625,13.4346373713
38,31,3195700,103087.096774,13.4453566622
39,32,3022900,94465.625,13.3852001408
40,30,3330400,111013.333333,13.3934278751
41,31,3285100,105970.967742,13.413364257
42,30,3232000,107733.333333,13.4759442559
43,32,3194200,99818.75,13.5860360254
44,30,3253600,108453.333333,13.6444200422
45,33,2974300,90130.3030303,13.6565294673
46,31,3489900,112577.419355,13.6654971166
47,32,3348700,104646.875,13.6565179162
48,30,3286500,109550.0,13.5805075474
49,31,3296900,106351.612903,13.6738114426
50,31,3263500,105274.193548,13.736199064
51,30,3290900,109696.666667,13.6774604787
52,30,3181900,106063.333333,13.6498782034
53,31,3326300,107300.0,13.5928808218
54,31,3313500,106887.096774,13.6638836389
55,31,3415900,110190.322581,13.7631226683
56,31,3320100,107100.0,13.7879368442
57,31,3309500,106758.064516,13.7372978755
58,31,3378500,108983.870968,13.855241959
59,31,3476900,112158.064516,13.736418911
60,32,3263800,101993.75,13.7318531044
61,31,3492300,112654.83871,13.6615689074
62,31,3399200,109651.612903,13.6025107045
63,31,3332000,107483.870968,13.564625861
64,31,3459500,111596.774194,13.5588214863
65,30,3447200,114906.666667,13.5578378241
66,32,3307100,103346.875,13.5074902194
67,31,3369700,108700.0,13.4865941996
68,31,3520600,113567.741935,13.4586852355
69,31,3408300,109945.16129,13.4662387937
70,31,3399600,109664.516129,13.5972856912
71,32,3389500,105921.875,13.5479311055
72,32,3336500,104265.625,13.5055902756
73,31,3430600,110664.516129,13.4633376793
74,31,3393500,109467.741935,13.4987884586
75,31,3283400,105916.129032,13.5359704992
76,31,3508700,113183.870968,13.4429590815
77,32,3366300,105196.875,13.4759285494
78,32,3382400,105700.0,13.5531870212
79,31,3536900,114093.548387,13.5946775776
80,31,3548900,114480.645161,13.5416251269
81,32,3364100,105128.125,13.5571109671
82,32,3487700,108990.625,13.6139240491
83,32,3373900,105434.375,13.5077614042
84,33,3404300,103160.606061,13.5445565667
85,31,3379300,109009.677419,13.6197596129
86,31,3453200,111393.548387,13.6705176103
87,32,3457700,108053.125,13.7283989628
88,31,3332200,107490.322581,13.8172918967
89,32,3395100,106096.875,13.6216235985
90,32,3525400,110168.75,13.6466900492
91,31,3433700,110764.516129,13.5980558167
92,31,3550000,114516.129032,13.6103268581
93,30,3378900,112630.0,13.6677768133
94,32,3478400,108700.0,13.6827179243
95,32,3480500,108765.625,13.6884661074
96,32,3540400,110637.5,13.6495272705
97,31,3454000,111419.354839,13.6146677725
98,30,3481100,116036.666667,13.6424679878
99,32,3481600,108800.0,13.6150865093
100,31,3444800,111122.580645,13.7472840625
101,31,3531800,113929.032258,13.6943261367
102,31,3370700,108732.258065,13.7466850277
103,31,3347900,107996.774194,13.7746883127
104,31,3307400,106690.322581,13.793076511
105,32,3481700,108803.125,13.7147325156
106,31,3441300,111009.677419,13.7156350597
107,32,3440300,107509.375,13.6815728485
108,30,3477900,115930.0,13.6265639646
109,30,3502900,116763.333333,13.6165484176
110,32,3364900,105153.125,13.7429700577
111,32,3371500,105359.375,13.8203481615
112,31,3463600,111729.032258,13.7192161566
113,31,3343200,107845.16129,13.7731556621
114,32,3479500,108734.375,13.8224299692
115,31,3454100,111422.580645,13.6826103998
116,32,3378700,105584.375,13.6423013358
117,32,3425500,107046.875,13.658047748
118,32,3469600,108425.0,13.6476408171
119,31,3516600,113438.709677,13.6463349986
120,32,3550000,110937.5,13.6723882626
121,32,3467500,108359.375,13.635902498
122,31,3417400,110238.709677,13.6328710924
123,33,3458400,104800.0,13.673024288
124,31,3568800,115122.580645,13.7604113572
125,32,3374700,105459.375,13.7201068725
126,32,3386000,105812.5,13.6246369696
127,31,3411500,110048.387097,13.664968257
128,32,3471500,108484.375,13.5963321636
