epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,105,11995,114.238095238,0.830079550706
2,62,67465,1088.14516129,1.74273508006
3,3,12345,4115.0,2.77485790489
4,29,186355,6426.03448276,3.32350724599
5,29,181560,6260.68965517,3.97103626866
6,29,178410,6152.06896552,4.42763027188
7,32,177820,5556.875,4.57012526395
8,36,172655,4795.97222222,4.40308259079
9,37,176315,4765.27027027,4.35391228136
10,33,190710,5779.09090909,4.31400106809
11,35,173785,4965.28571429,4.26812260065
12,37,202275,5466.89189189,4.30956346206
13,31,214580,6921.93548387,4.32717766136
14,38,202150,5319.73684211,4.27548428329
15,41,172510,4207.56097561,4.25489157336
16,34,210565,6193.08823529,4.10461868605
17,40,205030,5125.75,3.98074845367
18,41,197570,4818.7804878,4.08125845714
19,42,193135,4598.45238095,3.98941894965
20,41,207020,5049.26829268,3.95103044751
21,33,225435,6831.36363636,3.90527153708
22,39,209505,5371.92307692,3.88238945438
23,39,210230,5390.51282051,3.95704802695
24,37,214265,5790.94594595,3.8608680043
25,39,205475,5268.58974359,3.83250165226
26,38,226855,5969.86842105,3.73777247124
27,35,218415,6240.42857143,3.7948112426
28,37,226000,6108.10810811,3.573067663
29,35,224380,6410.85714286,3.60306538541
30,34,240975,7087.5,3.55577847178
31,44,211675,4810.79545455,3.62962861778
32,37,235530,6365.67567568,3.54906610209
33,35,230460,6584.57142857,3.50045549177
34,30,224330,7477.66666667,3.43716228555
35,32,227900,7121.875,3.37675634852
36,37,230525,6230.40540541,3.41992429476
37,34,226830,6671.47058824,3.36571237253
38,27,256815,9511.66666667,3.32724676012
39,30,239810,7993.66666667,3.31753014371
40,35,236715,6763.28571429,3.33348125332
41,32,252110,7878.4375,3.30218793385
42,33,240200,7278.78787879,3.36531179733
43,29,250340,8632.4137931,3.37647931442
44,34,255485,7514.26470588,3.40395436457
45,32,246095,7690.46875,3.47306210121
46,37,238730,6452.16216216,3.39579507495
47,29,264925,9135.34482759,3.36755727059
48,35,242040,6915.42857143,3.38234546579
49,34,245195,7211.61764706,3.3571222954
50,36,246940,6859.44444444,3.34457170243
51,33,264995,8030.15151515,3.41270405825
52,35,250590,7159.71428571,3.40148691953
53,29,268545,9260.17241379,3.39418680026
54,33,261415,7921.66666667,3.37075607026
55,31,254405,8206.61290323,3.41285296699
56,33,259945,7877.12121212,3.42399220537
57,29,265145,9142.93103448,3.40975179869
58,29,264605,9124.31034483,3.38435257013
59,31,256050,8259.67741935,3.31726491577
60,34,256615,7547.5,3.29182351661
61,31,272885,8802.74193548,3.27478919005
62,32,268025,8375.78125,3.33897958303
63,30,271010,9033.66666667,3.34505556494
64,33,268285,8129.84848485,3.43025872685
65,30,278590,9286.33333333,3.34367856061
66,31,249305,8042.09677419,3.37607449637
67,30,267720,8924.0,3.40032659482
68,31,272755,8798.5483871,3.36254345068
69,30,282775,9425.83333333,3.33572488971
70,27,284540,10538.5185185,3.31767826832
71,30,277990,9266.33333333,3.2797871734
72,32,280305,8759.53125,3.31936288764
73,31,277915,8965.0,3.31221187862
74,28,276115,9861.25,3.31505772921
75,31,269740,8701.29032258,3.32820072162
76,29,282110,9727.93103448,3.28872447035
77,30,281100,9370.0,3.34930204076
78,39,256495,6576.79487179,3.39138504851
79,27,280165,10376.4814815,3.4270450797
80,30,274570,9152.33333333,3.35208824604
81,28,292920,10461.4285714,3.43453215158
82,27,300355,11124.2592593,3.41668975564
83,30,250900,8363.33333333,3.45301411977
