epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,50,-1002,-20.04,0.587596833319
2,56,-1122,-20.0357142857,0.949610286551
3,54,-1074,-19.8888888889,1.26516130946
4,54,-1042,-19.2962962963,1.38237711461
5,61,-1274,-20.8852459016,1.46538498348
6,50,-766,-15.32,1.45324788462
7,51,-930,-18.2352941176,1.31089969322
8,48,-908,-18.9166666667,1.16914341456
9,51,-958,-18.7843137255,1.07597436242
10,56,-1118,-19.9642857143,0.968654884899
11,43,-632,-14.6976744186,0.848282366919
12,50,-884,-17.68,0.771803565086
13,49,-814,-16.612244898,0.704119612814
14,46,-670,-14.5652173913,0.656061247233
15,47,-752,-16.0,0.611240947767
16,47,-848,-18.0425531915,0.579462319025
17,47,-768,-16.3404255319,0.54158510933
18,50,-862,-17.24,0.451644377881
19,48,-802,-16.7083333333,0.42945917531
20,44,-742,-16.8636363636,0.373374829894
21,46,-802,-17.4347826087,0.322313664114
22,44,-778,-17.6818181818,0.312754666632
23,46,-738,-16.0434782609,0.303153996719
24,48,-858,-17.875,0.289708343509
25,47,-830,-17.6595744681,0.250616574211
26,49,-814,-16.612244898,0.229828429268
27,47,-786,-16.7234042553,0.218164440806
28,51,-902,-17.6862745098,0.191654660355
29,50,-856,-17.12,0.194617301387
30,44,-718,-16.3181818182,0.202319005652
31,47,-814,-17.3191489362,0.16588449275
32,48,-832,-17.3333333333,0.202233197753
33,45,-688,-15.2888888889,0.22144213949
34,49,-876,-17.8775510204,0.201781690308
35,45,-734,-16.3111111111,0.191083823597
36,49,-840,-17.1428571429,0.183000301199
37,48,-824,-17.1666666667,0.159990249577
38,48,-822,-17.125,0.164924595166
39,50,-928,-18.56,0.146197470569
40,50,-890,-17.8,0.125308918025
41,52,-912,-17.5384615385,0.0952125461923
42,49,-770,-15.7142857143,0.0739680395112
43,51,-874,-17.137254902,0.0596555873204
44,50,-832,-16.64,0.0702628794604
45,47,-786,-16.7234042553,0.0714423933136
46,49,-866,-17.6734693878,0.0648576605727
47,50,-892,-17.84,0.0372120150854
48,48,-898,-18.7083333333,0.0668545294181
49,50,-898,-17.96,0.0529519723507
50,49,-820,-16.7346938776,0.0105388446245
51,47,-790,-16.8085106383,-0.000836219919147
52,51,-890,-17.4509803922,-0.0215263620287
53,48,-896,-18.6666666667,-0.0317954181554
54,54,-944,-17.4814814815,-0.0297919858061
55,52,-936,-18.0,-0.0472234873148
56,51,-876,-17.1764705882,-0.0449786242517
