epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,37,0,0.0,0.444937022291
2,37,0,0.0,0.389034617916
3,37,14,0.378378378378,0.333198516686
4,37,121,3.27027027027,0.442902069772
5,37,2014,54.4324324324,0.691632737145
6,25,6229,249.16,1.52675699996
7,23,6237,271.173913043,3.10365693934
8,18,7902,439.0,4.66093066547
9,17,8170,480.588235294,5.42058448669
10,16,8381,523.8125,6.04305609427
11,13,8903,684.846153846,6.62370626003
12,11,8857,805.181818182,7.23865192577
13,16,8395,524.6875,7.58146482736
14,11,8478,770.727272727,8.23360411242
15,13,8985,691.153846154,8.3519186525
16,10,8961,896.1,8.81908598386
17,11,8987,817.0,8.8349374444
18,10,8869,886.9,8.72409117408
19,12,9280,773.333333333,8.84632441483
20,10,8936,893.6,8.93617629871
21,10,8522,852.2,9.37701494604
22,9,8800,977.777777778,9.50708341941
23,10,8716,871.6,9.29110189766
24,11,8860,805.454545455,9.62888514712
25,10,8775,877.5,9.97190842435
26,10,9312,931.2,9.7739821361
27,9,9311,1034.55555556,9.66752974272
28,10,9461,946.1,9.85069788218
29,9,8972,996.888888889,9.90666343287
30,9,9331,1036.77777778,9.97784643933
31,9,9259,1028.77777778,9.96655686811
32,10,9250,925.0,9.94996113345
33,14,9190,656.428571429,9.88790326267
34,12,8989,749.083333333,9.74529865533
35,10,8758,875.8,9.60145733833
36,10,9750,975.0,9.69345141008
37,9,9114,1012.66666667,9.59944896683
38,10,9174,917.4,9.74692847282
39,11,9185,835.0,10.0777862626
40,9,9677,1075.22222222,10.0717782363
41,9,8698,966.444444444,10.1198967096
42,9,9608,1067.55555556,10.1975579178
43,9,9376,1041.77777778,10.1815712325
44,9,9437,1048.55555556,10.2577811314
45,9,9536,1059.55555556,10.0947025725
46,9,9220,1024.44444444,10.0080133097
47,9,8998,999.777777778,9.94833558261
48,10,9295,929.5,9.93400694594
49,9,9485,1053.88888889,9.95530507088
50,11,9320,847.272727273,10.2624185224
51,10,9144,914.4,10.1369065265
52,9,9687,1076.33333333,10.0126316032
53,10,8956,895.6,10.0530055457
