epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,69,-6543,-94.8260869565,0.539438438272
2,69,-6571,-95.231884058,0.932735728795
3,66,-5992,-90.7878787879,1.41153888454
4,67,-5809,-86.7014925373,1.55091592643
5,67,-5811,-86.7313432836,1.45897461303
6,66,-5730,-86.8181818182,1.210900395
7,67,-6001,-89.5671641791,0.788181176904
8,68,-5566,-81.8529411765,0.285966111732
9,66,-5514,-83.5454545455,0.00374150373274
10,68,-5312,-78.1176470588,-0.309602098526
11,70,-5748,-82.1142857143,-0.659912193272
12,68,-5356,-78.7647058824,-0.872880524476
13,66,-5406,-81.9090909091,-1.04265588589
14,66,-4966,-75.2424242424,-1.40892920979
15,67,-5258,-78.4776119403,-1.58492449595
16,68,-5186,-76.2647058824,-1.53702472416
17,66,-4833,-73.2272727273,-1.60525159873
18,66,-5056,-76.6060606061,-1.70171315479
19,65,-4477,-68.8769230769,-1.66229375187
20,66,-4292,-65.0303030303,-1.74754492189
21,64,-3847,-60.109375,-1.72998130623
22,66,-3373,-51.1060606061,-1.76316099643
23,66,-3229,-48.9242424242,-1.74948687512
24,66,-2685,-40.6818181818,-1.47325151057
25,65,-2279,-35.0615384615,-1.39271266045
26,67,-1767,-26.3731343284,-1.13654402549
27,65,-1615,-24.8461538462,-1.12287865615
28,67,-965,-14.4029850746,-1.02402481089
29,68,-1165,-17.1323529412,-1.00946992597
30,71,-338,-4.76056338028,-0.608960056908
31,70,-320,-4.57142857143,-0.579827820776
32,71,-175,-2.46478873239,-0.472269220252
33,71,-211,-2.97183098592,-0.305853797484
34,72,-119,-1.65277777778,-0.12461861906
35,78,828,10.6153846154,0.0853494647518
36,70,-535,-7.64285714286,0.240494077473
37,75,708,9.44,0.320051341311
38,74,-162,-2.18918918919,0.38852158037
39,75,307,4.09333333333,0.395493971799
40,77,504,6.54545454545,0.358561070076
41,73,205,2.80821917808,0.470696907059
42,75,349,4.65333333333,0.321769424928
43,74,354,4.78378378378,0.196470776359
44,76,380,5.0,0.00816755921929
45,77,755,9.80519480519,0.0254272919812
46,78,859,11.0128205128,-0.0779279916768
47,76,575,7.56578947368,-0.233916863964
48,75,339,4.52,-0.239956966242
49,79,859,10.8734177215,-0.26462777911
50,81,1271,15.6913580247,-0.114474759288
51,76,729,9.59210526316,0.00525503908866
52,79,1041,13.1772151899,-0.0704172568815
53,79,1001,12.6708860759,-0.138081044481
54,83,1435,17.2891566265,-0.162294793484
55,77,599,7.77922077922,-0.176434945029
56,74,-63,-0.851351351351,-0.196007481029
57,81,1195,14.7530864198,-0.211567165494
58,80,1244,15.55,-0.0866908546677
59,78,696,8.92307692308,-0.143314926459
60,82,1152,14.0487804878,-0.168643999009
61,84,1494,17.7857142857,-0.00823800505255
62,77,920,11.9480519481,-0.0203772145789
63,82,1183,14.4268292683,-0.0791364441358
64,78,795,10.1923076923,0.0129980130261
65,80,1189,14.8625,0.0486731879332
66,82,1420,17.3170731707,-0.153612767634
67,77,986,12.8051948052,-0.17322353409
68,82,1561,19.0365853659,-0.15980484375
69,80,1230,15.375,-0.0588177986792
70,80,1268,15.85,-0.036473009726
71,85,1636,19.2470588235,-0.0958366409724
72,83,1266,15.2530120482,-0.0794092874264
73,84,1639,19.5119047619,-0.115405445927
74,83,1356,16.3373493976,-0.0253348098183
75,81,1076,13.2839506173,-0.116659807583
76,82,1421,17.3292682927,-0.106061201048
77,83,1500,18.0722891566,-0.179347327412
78,80,1024,12.8,-0.142764035914
79,78,791,10.141025641,-0.130976439269
80,81,1415,17.4691358025,-0.314047453611
81,79,1116,14.1265822785,-0.390995218895
82,82,1491,18.1829268293,-0.440084115184
83,81,1263,15.5925925926,-0.397880019433
84,84,1655,19.7023809524,-0.453784695929
85,79,954,12.0759493671,-0.36254107472
86,83,1384,16.6746987952,-0.364322570503
87,81,1302,16.0740740741,-0.353852905867
88,80,1060,13.25,-0.507596172669
89,83,1462,17.6144578313,-0.601975161678
90,82,1337,16.3048780488,-0.680916996087
91,83,1542,18.578313253,-0.699555555728
92,81,1304,16.0987654321,-0.640615502191
93,83,1240,14.9397590361,-0.559106495368
94,82,1335,16.2804878049,-0.686513922322
95,81,1451,17.9135802469,-0.770732794564
96,83,1558,18.7710843373,-0.718450490752
97,80,1315,16.4375,-0.7485853878
98,88,2190,24.8863636364,-0.756770763915
99,83,1301,15.6746987952,-0.661458686454
100,83,1524,18.3614457831,-0.525340455518
101,84,1418,16.880952381,-0.510932420224
102,84,1739,20.7023809524,-0.597003129444
103,84,1533,18.25,-0.593616099786
104,78,844,10.8205128205,-0.771317618439
105,80,1195,14.9375,-0.718373227793
106,81,937,11.5679012346,-0.586121153028
107,83,1541,18.5662650602,-0.700143169482
108,81,1100,13.5802469136,-0.679641320275
109,86,1859,21.6162790698,-0.782907151297
110,84,1697,20.2023809524,-0.741357579252
111,85,1861,21.8941176471,-0.697973724692
112,84,1607,19.130952381,-0.766720110367
113,86,1888,21.9534883721,-0.718315255534
114,86,1734,20.1627906977,-0.785230793002
115,84,1716,20.4285714286,-0.975066127764
116,85,1630,19.1764705882,-0.915598841032
117,85,1622,19.0823529412,-0.8338202989
118,83,1377,16.5903614458,-0.915331939845
119,83,1684,20.2891566265,-0.915807462286
120,84,1470,17.5,-0.818471703684
121,82,1589,19.3780487805,-0.793032608459
122,84,1284,15.2857142857,-0.787409788533
123,85,1674,19.6941176471,-0.848847552608
124,83,1848,22.265060241,-0.923906057233
125,87,1815,20.8620689655,-0.880284501826
126,87,1739,19.9885057471,-0.894281271063
127,81,1247,15.3950617284,-0.989269824419
128,88,1938,22.0227272727,-0.826394236834
129,83,1440,17.3493975904,-0.886876046321
130,85,1826,21.4823529412,-1.02360050904
131,84,1708,20.3333333333,-0.91724949836
132,84,1648,19.619047619,-0.86185349624
133,82,1373,16.743902439,-0.835826714807
134,84,1605,19.1071428571,-0.918594263905
135,87,1835,21.091954023,-0.858978880345
136,87,1903,21.8735632184,-0.877727688637
137,86,1764,20.511627907,-0.861966974206
138,88,1909,21.6931818182,-0.84874810192
139,83,1309,15.7710843373,-0.839714730607
140,86,1689,19.6395348837,-0.81445251769
141,84,1662,19.7857142857,-0.804426830484
142,84,1415,16.8452380952,-0.790636608902
143,84,1543,18.369047619,-0.727194755888
144,85,1533,18.0352941176,-0.903875662129
145,87,1924,22.1149425287,-0.93242057506
146,87,1917,22.0344827586,-0.900263720676
147,85,1675,19.7058823529,-0.892004715126
148,88,2020,22.9545454545,-0.801860112139
149,86,1788,20.7906976744,-0.962376228877
150,85,1683,19.8,-0.968410601928
151,84,1618,19.2619047619,-0.920630773884
152,86,1655,19.2441860465,-0.942611252629
153,88,1911,21.7159090909,-1.0855950905
154,87,1879,21.5977011494,-1.10322273485
155,87,1718,19.7471264368,-1.13872013839
156,89,2116,23.7752808989,-1.05078621636
157,82,1404,17.1219512195,-0.838339729928
158,87,1816,20.8735632184,-0.699828356792
159,86,1798,20.9069767442,-0.799859511529
160,86,1837,21.3604651163,-0.771300830926
161,86,1749,20.3372093023,-0.792922197774
162,82,1475,17.987804878,-0.808796468821
163,87,1780,20.4597701149,-0.866537638562
164,86,1645,19.1279069767,-0.900508962427
165,85,1499,17.6352941176,-0.943788382288
166,83,1530,18.4337349398,-0.923644951375
167,85,1748,20.5647058824,-0.819652365932
168,87,1846,21.2183908046,-0.903204435371
169,85,1873,22.0352941176,-0.876158530918
170,88,2054,23.3409090909,-0.94629183149
171,86,1925,22.3837209302,-0.874180875478
172,86,1806,21.0,-0.742475083461
173,90,2153,23.9222222222,-0.784633216209
174,89,1924,21.6179775281,-0.7521844141
175,87,1767,20.3103448276,-0.780933936038
176,88,1917,21.7840909091,-0.85054761098
177,87,1917,22.0344827586,-0.846700251118
178,90,2190,24.3333333333,-0.9531941091
179,88,2036,23.1363636364,-1.04321766347
180,88,2030,23.0681818182,-1.03464131321
181,87,2042,23.4712643678,-1.02819380989
182,84,1327,15.7976190476,-1.04100459819
183,84,1220,14.5238095238,-0.995984148992
184,86,1650,19.1860465116,-0.996326041088
185,87,1921,22.0804597701,-1.06994686823
186,84,1474,17.5476190476,-1.10108520411
187,87,1877,21.5747126437,-1.20341184974
188,86,1804,20.976744186,-1.10061046688
189,88,2219,25.2159090909,-1.11549307544
190,87,1747,20.0804597701,-1.04903339964
191,89,1794,20.1573033708,-0.964337779632
192,84,1467,17.4642857143,-1.04807947988
193,87,2022,23.2413793103,-0.971545857009
194,85,1616,19.0117647059,-0.896099502201
195,85,1932,22.7294117647,-0.861112979575
196,88,1919,21.8068181818,-0.87311700835
197,86,2016,23.4418604651,-0.869864549679
198,90,1986,22.0666666667,-0.905532779503
199,85,1632,19.2,-0.98067370231
200,85,1391,16.3647058824,-0.857530337084
