epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,228,30700,134.649122807,1.41580269681
2,243,51870,213.456790123,3.01115911905
3,218,48240,221.28440367,4.51597759565
4,198,46460,234.646464646,5.29272360992
5,195,46550,238.717948718,5.81454525035
6,185,46200,249.72972973,5.60699778502
7,188,47350,251.861702128,5.4499433655
8,187,48100,257.219251337,5.02700009783
9,183,46920,256.393442623,4.78957574563
10,179,45950,256.703910615,4.76161486439
11,178,44690,251.06741573,4.64484989929
12,181,46370,256.187845304,4.59720475725
13,181,47130,260.386740331,4.64312967347
14,181,48680,268.950276243,4.66701770776
15,189,49830,263.650793651,4.78146656561
16,179,47470,265.195530726,4.75057649219
17,187,48390,258.770053476,4.83350299435
18,188,49060,260.957446809,5.23754958658
19,179,71010,396.703910615,5.41567317128
20,199,57310,287.989949749,5.52666816268
21,201,50780,252.63681592,6.41051594107
22,189,49500,261.904761905,6.6651359722
23,168,95550,568.75,7.02598815363
24,158,93410,591.202531646,7.49634011798
25,172,53290,309.825581395,7.82081489533
26,159,69090,434.528301887,8.44410128076
27,163,50000,306.748466258,8.64232624751
28,162,42450,262.037037037,9.07154137491
29,166,47230,284.518072289,10.0157725601
30,157,61660,392.738853503,10.0854710786
31,157,43330,275.987261146,10.2663670315
32,151,38670,256.092715232,9.88207183143
33,160,34510,215.6875,9.44332768513
34,155,34500,222.580645161,9.2433037974
35,161,40630,252.360248447,8.81156874107
36,162,42650,263.271604938,8.1108649268
37,153,41000,267.973856209,7.6317378208
38,152,40550,266.776315789,6.76765803396
39,157,41130,261.974522293,6.22761779631
40,165,44350,268.787878788,5.65267401477
41,161,42310,262.795031056,5.14156288873
42,172,45140,262.441860465,4.80956960964
43,166,45650,275.0,4.55874296953
44,168,45570,271.25,4.45380535739
45,172,45040,261.860465116,4.50408904427
46,168,44960,267.619047619,4.48831017501
47,183,49270,269.234972678,4.507303432
48,166,44990,271.024096386,4.50151629634
49,186,50880,273.548387097,4.51312000867
50,173,47350,273.699421965,4.50604617764
51,182,50070,275.10989011,4.39618588604
52,188,51240,272.553191489,4.31517401831
