epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,144,26720,185.555555556,1.76030139012
2,119,76680,644.369747899,4.41606809359
3,134,48920,365.074626866,5.94269524225
4,106,103800,979.245283019,7.25963202262
5,109,89220,818.532110092,7.9454222551
6,106,102980,971.509433962,8.18241567133
7,95,130360,1372.21052632,7.93758923848
8,79,166060,2102.02531646,7.58981284009
9,96,131300,1367.70833333,7.59339410174
10,90,142140,1579.33333333,7.30920721415
11,85,150540,1771.05882353,7.08039405596
12,87,150080,1725.05747126,7.00833947615
13,83,166860,2010.36144578,7.1523923218
14,76,197340,2596.57894737,7.12011216267
15,84,180560,2149.52380952,7.22895770654
16,80,171100,2138.75,7.4230287571
17,79,198900,2517.72151899,7.4867337947
18,77,214380,2784.15584416,7.56793006942
19,78,195120,2501.53846154,7.55205734286
20,76,203220,2673.94736842,7.68226731442
21,73,220880,3025.75342466,7.59788472943
22,73,218740,2996.43835616,7.65708454777
23,75,202040,2693.86666667,7.69837854231
24,77,209680,2723.11688312,8.09661190551
25,70,231940,3313.42857143,8.25872183278
26,70,220660,3152.28571429,8.25645340847
27,70,227260,3246.57142857,8.06674537078
28,70,237540,3393.42857143,8.06460971124
29,72,227260,3156.38888889,8.0513330811
30,66,250860,3800.90909091,7.95274283387
31,71,219520,3091.83098592,8.06621711753
32,68,242280,3562.94117647,7.96726816199
33,70,228520,3264.57142857,7.91991162953
34,67,239360,3572.53731343,7.8519101721
35,64,261360,4083.75,7.86340865854
36,64,256260,4004.0625,7.77358210742
37,63,263080,4175.87301587,7.73749886807
38,66,255020,3863.93939394,7.69675599748
39,61,279360,4579.67213115,7.79261006786
40,65,250900,3860.0,7.68701858075
41,61,266240,4364.59016393,7.80271816895
42,60,279840,4664.0,7.90338193362
43,63,265740,4218.0952381,8.08885537378
44,59,273660,4638.30508475,8.1789235011
45,61,274440,4499.01639344,8.31064704577
46,63,259980,4126.66666667,8.16583293172
47,59,281160,4765.42372881,8.22236358639
48,57,289520,5079.29824561,8.1831133681
49,51,309920,6076.8627451,8.0827774864
50,57,288920,5068.77192982,8.19279208365
51,55,309160,5621.09090909,8.3266588173
52,56,294240,5254.28571429,8.29986799117
