epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,132,9145,69.2803030303,2.27135750622
2,55,152110,2765.63636364,6.35907943575
3,81,136620,1686.66666667,10.8850783573
4,77,30980,402.337662338,13.9837932923
5,85,80890,951.647058824,13.9019076726
6,65,85180,1310.46153846,12.8215501151
7,70,176795,2525.64285714,12.3744262648
8,90,269220,2991.33333333,12.5205307762
9,45,140605,3124.55555556,14.713342163
10,40,125070,3126.75,17.4953160864
11,57,172980,3034.73684211,19.6535668232
12,67,200810,2997.1641791,19.5539216545
13,36,112775,3132.63888889,19.4547374408
14,41,127390,3107.07317073,19.8042883128
15,39,121460,3114.35897436,20.0979963864
16,61,191820,3144.59016393,19.9106814377
17,56,169590,3028.39285714,18.8054717007
18,53,165835,3128.96226415,18.0506431148
19,55,172825,3142.27272727,17.7929186363
20,53,167245,3155.56603774,17.4989918482
21,49,155655,3176.63265306,17.1459024647
22,49,155610,3175.71428571,16.8118547826
23,58,189575,3268.53448276,16.7339664486
24,54,169280,3134.81481481,16.4177640871
25,52,166385,3199.71153846,16.2578518154
26,54,171505,3176.01851852,15.8805266732
27,56,185075,3304.91071429,15.917671612
28,57,210175,3687.28070175,15.7042866898
29,45,156485,3477.44444444,15.6619822814
30,50,171650,3433.0,15.7336780661
31,61,242525,3975.81967213,15.8809196163
32,55,263320,4787.63636364,15.6382998416
33,108,674250,6243.05555556,15.5392107645
34,104,722710,6949.13461538,15.5963671834
35,89,642705,7221.40449438,16.2174029368
36,97,497875,5132.73195876,16.7808125555
37,65,212580,3270.46153846,16.621333449
38,71,260170,3664.36619718,16.360169433
39,83,419140,5049.87951807,16.4092680374
40,64,224245,3503.828125,16.574909709
41,59,190830,3234.40677966,16.5573169445
42,59,210065,3560.42372881,16.7510208359
43,56,198940,3552.5,17.0364503533
44,38,122500,3223.68421053,16.7663268695
45,53,177855,3355.75471698,16.6804283395
46,37,122430,3308.91891892,16.5118477809
47,52,165665,3185.86538462,15.9369634676
48,60,195565,3259.41666667,15.7882031448
49,55,208580,3792.36363636,16.1413891508
50,45,180170,4003.77777778,16.0571195146
51,47,187765,3995.0,15.9442721191
52,77,567325,7367.85714286,15.7687357438
53,78,607080,7783.07692308,15.5496517088
54,76,569710,7496.18421053,15.9766512579
55,91,740300,8135.16483516,16.0733973509
56,72,609935,8471.31944444,16.0293619612
57,77,629225,8171.75324675,15.8235561764
58,74,832710,11252.8378378,15.9822873176
59,76,708870,9327.23684211,16.1722002408
60,70,713155,10187.9285714,15.9727298607
61,68,621530,9140.14705882,15.8750796992
62,74,671880,9079.45945946,16.0741299994
63,77,1019360,13238.4415584,16.3292162789
64,72,709680,9856.66666667,16.1967551234
65,72,605225,8405.90277778,16.8466003694
66,65,535305,8235.46153846,17.8790070804
67,57,447690,7854.21052632,18.6249271919
68,59,502610,8518.81355932,18.7555340645
69,61,524705,8601.72131148,19.3672363161
70,53,453260,8552.0754717,19.5192172085
71,55,446535,8118.81818182,19.7512171397
72,51,445080,8727.05882353,19.7897738217
73,63,551970,8761.42857143,19.7037320284
74,64,567160,8861.875,19.3336015099
75,55,500845,9106.27272727,19.1328569607
76,62,587275,9472.17741935,19.2141352592
77,59,538970,9135.08474576,19.3131883591
78,69,643875,9331.52173913,19.0164832865
79,73,746965,10232.3972603,18.7875486447
80,62,640655,10333.1451613,18.785268175
81,59,602770,10216.440678,18.7952686158
82,66,556575,8432.95454545,19.0828174615
83,61,602765,9881.39344262,19.2068106827
84,60,576970,9616.16666667,19.0797154114
85,68,569635,8376.98529412,18.9667109992
86,58,527665,9097.67241379,19.2545508671
87,63,580590,9215.71428571,19.24256441
88,63,615940,9776.82539683,19.0983813272
89,67,673620,10054.0298507,19.2551607301
90,58,568650,9804.31034483,19.2026799886
91,64,637380,9959.0625,19.1708291256
92,63,640245,10162.6190476,19.016246697
93,64,619090,9673.28125,19.0050473709
94,70,727990,10399.8571429,18.9011410722
95,82,923385,11260.7926829,18.9693689661
96,74,907435,12262.6351351,18.8365626843
97,74,935820,12646.2162162,18.8789729376
98,86,1090870,12684.5348837,18.8619040385
99,96,1209845,12602.5520833,18.7069498808
100,99,1276250,12891.4141414,18.8176377525
101,109,1370735,12575.5504587,18.7381332434
102,112,1452280,12966.7857143,18.5044889493
103,105,1358695,12939.952381,18.5338101248
104,109,1408090,12918.2568807,18.6549112101
105,97,1201975,12391.4948454,18.5126811045
106,88,1101225,12513.9204545,18.5887948025
107,81,1083505,13376.6049383,18.6039175156
108,79,1054350,13346.2025316,18.5709164025
109,80,1071095,13388.6875,18.7493500647
110,101,1345485,13321.6336634,18.8723117177
111,96,1257785,13101.9270833,19.1023898568
112,82,1088980,13280.2439024,18.7834116731
113,88,1114240,12661.8181818,18.718591944
114,85,1097285,12909.2352941,18.9306529554
115,76,1025280,13490.5263158,18.7391167316
116,72,952850,13234.0277778,18.6958683964
117,72,964160,13391.1111111,18.8151029713
118,72,955115,13265.4861111,18.650729099
119,73,956305,13100.0684932,18.6907379748
120,69,921050,13348.5507246,18.7878022506
121,75,1011290,13483.8666667,18.4928290903
122,87,1138310,13084.0229885,18.7775444705
