epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,248,13450,54.2338709677,0.589255703599
2,158,14850,93.9873417722,0.674881564449
3,157,11800,75.1592356688,0.789352776315
4,103,12850,124.757281553,0.936917893291
5,79,15650,198.101265823,1.34289962349
6,71,25050,352.816901408,1.68263459586
7,80,23350,291.875,1.73574926034
8,70,19000,271.428571429,1.572844108
9,77,26450,343.506493506,1.43898841636
10,80,21950,274.375,1.37173455481
11,74,26250,354.72972973,1.30350103823
12,78,25900,332.051282051,1.26575885406
13,79,24450,309.493670886,1.23988330337
14,76,35200,463.157894737,1.17249043197
15,78,33000,423.076923077,1.11728105151
16,77,36500,474.025974026,1.0573835164
17,75,27700,369.333333333,0.994580539044
18,76,39200,515.789473684,0.957665058721
19,74,32900,444.594594595,0.925773016659
20,75,29750,396.666666667,0.903142755122
21,74,35700,482.432432432,0.872886589598
22,74,35750,483.108108108,0.838335673827
23,75,33800,450.666666667,0.838362569431
24,75,37900,505.333333333,0.815073184537
25,76,28750,378.289473684,0.791313452412
26,73,34750,476.02739726,0.771551751698
27,74,30450,411.486486486,0.755878085284
28,78,34750,445.512820513,0.756233933959
29,77,28700,372.727272727,0.746013542986
30,79,32850,415.82278481,0.729433474371
31,77,31300,406.493506494,0.746353271906
32,78,35300,452.564102564,0.76009528407
33,75,32150,428.666666667,0.763336900456
34,74,31000,418.918918919,0.744319870056
35,79,30300,383.544303797,0.722254272418
36,78,32400,415.384615385,0.70609499272
37,77,35750,464.285714286,0.707511326784
38,74,34200,462.162162162,0.697386792436
39,79,30000,379.746835443,0.680177212296
40,74,37100,501.351351351,0.675470774592
41,75,36000,480.0,0.667148304365
42,74,29350,396.621621622,0.652944117282
43,74,35400,478.378378378,0.644784073203
44,79,27850,352.53164557,0.664482325269
45,75,32150,428.666666667,0.66645255788
46,75,30650,408.666666667,0.664420621541
47,76,40550,533.552631579,0.647892217934
48,74,31550,426.351351351,0.644938721159
49,75,34350,458.0,0.630961603388
50,78,36050,462.179487179,0.624963796251
51,78,30700,393.58974359,0.631877433596
52,76,30900,406.578947368,0.647504634218
53,75,33100,441.333333333,0.658057674894
54,79,33250,420.886075949,0.652827007526
55,74,31150,420.945945946,0.65756417445
56,76,31450,413.815789474,0.656910118471
