epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,309,4400,14.2394822006,0.457781659281
2,375,5400,14.4,0.483684095102
3,238,96000,403.361344538,0.500240038238
4,225,81100,360.444444444,0.50367869094
5,216,40600,187.962962963,0.534218114198
6,219,112400,513.242009132,0.544831176723
7,226,130600,577.876106195,0.558933920024
8,232,140600,606.034482759,0.556615090498
9,224,143200,639.285714286,0.674662069447
10,197,171200,869.035532995,0.755146424226
11,135,231000,1711.11111111,0.805903929288
12,94,263400,2802.12765957,0.833815376861
13,116,263200,2268.96551724,0.874325960954
14,116,249200,2148.27586207,0.958413726578
15,111,263000,2369.36936937,1.07885762912
16,89,287200,3226.96629213,1.18571091046
17,88,281800,3202.27272727,1.25048837012
18,69,298300,4323.1884058,1.30349022281
19,67,323200,4823.88059701,1.3488677223
20,58,338000,5827.5862069,1.32061754248
21,67,321400,4797.01492537,1.29230966259
22,71,318000,4478.87323944,1.28763801474
23,70,327800,4682.85714286,1.2490300858
24,58,344000,5931.03448276,1.21382833967
25,54,337000,6240.74074074,1.20501561838
26,55,354000,6436.36363636,1.19310374763
27,51,340200,6670.58823529,1.17754376187
28,53,363800,6864.1509434,1.16170491303
29,52,364800,7015.38461538,1.15475687279
30,58,345000,5948.27586207,1.13638307974
31,52,359600,6915.38461538,1.13161336291
32,53,400400,7554.71698113,1.15093024463
33,50,398000,7960.0,1.15585231122
34,67,345800,5161.19402985,1.09405290291
35,50,360000,7200.0,1.09017621867
36,54,384400,7118.51851852,1.10190546176
37,63,357200,5669.84126984,1.14563949812
38,46,386200,8395.65217391,1.14456829062
39,51,375000,7352.94117647,1.14183956902
40,50,381400,7628.0,1.16873258618
41,51,371800,7290.19607843,1.19812468835
42,50,389600,7792.0,1.23248537993
43,46,390000,8478.26086957,1.24138539891
44,53,390000,7358.49056604,1.21775628678
45,51,361000,7078.43137255,1.20347477742
46,52,392800,7553.84615385,1.15913602821
47,52,383800,7380.76923077,1.18319545974
48,50,387600,7752.0,1.15913084129
49,53,412800,7788.67924528,1.14927250602
50,47,408600,8693.61702128,1.13270294094
51,48,413600,8616.66666667,1.12059712444
52,60,379400,6323.33333333,1.15651545222
53,54,401800,7440.74074074,1.16338357996
54,44,415200,9436.36363636,1.17390505899
55,43,417800,9716.27906977,1.14993612409
56,43,410200,9539.53488372,1.12940662653
57,54,414800,7681.48148148,1.15045673612
58,46,420800,9147.82608696,1.14430839721
59,47,416900,8870.21276596,1.13530222738
60,47,425000,9042.55319149,1.16538181442
61,51,409200,8023.52941176,1.19132313981
62,45,427200,9493.33333333,1.1421753357
63,47,411800,8761.70212766,1.14870565624
64,54,418200,7744.44444444,1.1318021262
65,45,420000,9333.33333333,1.12537732447
66,49,418200,8534.69387755,1.08517731628
67,47,420200,8940.42553191,1.06904888957
68,45,424800,9440.0,1.05380069278
69,44,425600,9672.72727273,1.03340143957
70,48,430600,8970.83333333,1.05954605555
71,48,424400,8841.66666667,1.04883199994
72,44,424400,9645.45454545,1.03811654062
73,43,431000,10023.255814,1.07250502859
74,44,428600,9740.90909091,1.08925260562
75,52,422200,8119.23076923,1.09680609076
76,46,425900,9258.69565217,1.08051423757
77,44,426600,9695.45454545,1.06757347702
78,42,433800,10328.5714286,1.071371722
79,46,428200,9308.69565217,1.0758541956
80,43,432200,10051.1627907,1.10254576039
81,45,434600,9657.77777778,1.07888465218
82,48,424000,8833.33333333,1.08611273779
83,44,435400,9895.45454545,1.06535265089
84,41,438800,10702.4390244,1.0462828162
85,46,420000,9130.43478261,1.06012281416
86,41,430000,10487.804878,1.0491318496
87,47,429400,9136.17021277,1.03869665415
88,47,427600,9097.87234043,1.04429071121
89,46,430600,9360.86956522,1.03049424379
90,44,431000,9795.45454545,1.00877312142
91,46,423400,9204.34782609,0.996697934044
92,45,418200,9293.33333333,1.00888587228
93,46,434200,9439.13043478,1.01845604914
94,47,414200,8812.76595745,1.02154321209
95,45,432400,9608.88888889,1.03379452725
96,50,429200,8584.0,1.04351777115
97,48,429800,8954.16666667,1.02831835341
98,45,427800,9506.66666667,1.01588035422
99,45,436200,9693.33333333,1.00477796932
100,44,441600,10036.3636364,1.00897442617
101,46,431800,9386.95652174,1.02128097698
102,45,433400,9631.11111111,1.04579112449
103,48,431000,8979.16666667,1.03597847205
104,45,429000,9533.33333333,1.02699457332
105,44,430200,9777.27272727,1.02000717153
106,46,431000,9369.56521739,1.0195577021
107,45,426800,9484.44444444,1.03193405573
108,45,437400,9720.0,1.01115434533
109,45,438600,9746.66666667,1.02393471536
110,45,433200,9626.66666667,1.01507342861
111,46,426200,9265.2173913,1.04516516381
112,45,434600,9657.77777778,1.04169672916
113,43,431400,10032.5581395,1.04262027903
114,47,424800,9038.29787234,1.00732806511
115,43,430200,10004.6511628,0.996656046268
116,45,428200,9515.55555556,1.01683810056
117,43,431400,10032.5581395,1.02383847528
118,47,433200,9217.0212766,1.02702175792
119,49,428400,8742.85714286,1.03711031177
120,45,433700,9637.77777778,1.02886103265
121,48,430000,8958.33333333,1.05706127944
122,49,434800,8873.46938776,1.06876309046
123,45,434000,9644.44444444,1.0772603097
124,41,438000,10682.9268293,1.07052881922
125,43,431400,10032.5581395,1.08367128565
126,48,422900,8810.41666667,1.0739836248
127,42,440100,10478.5714286,1.08864383995
128,51,425200,8337.25490196,1.10799203328
129,46,431400,9378.26086957,1.09473477321
130,45,423600,9413.33333333,1.0744652751
131,47,431000,9170.21276596,1.07020575402
132,47,431400,9178.72340426,1.04873822308
133,46,434500,9445.65217391,1.07416330587
134,46,437600,9513.04347826,1.06533992634
135,47,435800,9272.34042553,1.0704838628
136,49,434000,8857.14285714,1.0820338322
137,47,431600,9182.9787234,1.09492904327
138,48,421400,8779.16666667,1.08509651733
139,44,438200,9959.09090909,1.09350195073
140,43,426800,9925.58139535,1.08452204876
141,40,435600,10890.0,1.10023849196
142,43,432800,10065.1162791,1.06933857058
143,44,428800,9745.45454545,1.08667422718
144,46,432600,9404.34782609,1.08100475379
145,44,434400,9872.72727273,1.06991691586
146,43,439000,10209.3023256,1.0692858174
147,43,427400,9939.53488372,1.07419228711
148,47,426000,9063.82978723,1.08378015689
149,43,428400,9962.79069767,1.06314199512
150,47,437600,9310.63829787,1.07424135319
151,43,431200,10027.9069767,1.0664927546
152,48,428200,8920.83333333,1.09230828961
153,43,434800,10111.627907,1.08985200404
154,43,432000,10046.5116279,1.09277377593
155,46,431400,9378.26086957,1.10520606923
156,44,440600,10013.6363636,1.08963985231
157,43,431200,10027.9069767,1.1235573461
158,41,438400,10692.6829268,1.14314889556
159,47,429200,9131.91489362,1.15674667039
160,47,434800,9251.06382979,1.14485783167
161,49,427400,8722.44897959,1.12814318948
162,45,429400,9542.22222222,1.11273497035
163,45,429700,9548.88888889,1.11215126341
164,46,437200,9504.34782609,1.08233517107
165,43,434200,10097.6744186,1.072568777
166,42,427000,10166.6666667,1.06102497982
167,42,443200,10552.3809524,1.06593210927
168,40,435600,10890.0,1.06187008628
169,44,432000,9818.18181818,1.08618356007
170,46,440500,9576.08695652,1.07030735355
171,40,442400,11060.0,1.0909272796
172,43,438200,10190.6976744,1.09757293282
173,48,431400,8987.5,1.11877403796
174,44,438000,9954.54545455,1.09488907579
175,44,433000,9840.90909091,1.09670640635
176,45,440700,9793.33333333,1.07681712929
177,44,434200,9868.18181818,1.06785919741
178,46,434400,9443.47826087,1.05457889409
179,48,429000,8937.5,1.05734806236
180,43,437000,10162.7906977,1.0415337441
181,42,436600,10395.2380952,1.04712021501
182,48,422900,8810.41666667,1.0343446408
183,43,435600,10130.2325581,1.04437982684
184,44,443600,10081.8181818,1.05470391698
185,48,433400,9029.16666667,1.05047648262
186,46,436400,9486.95652174,1.07528999854
187,43,440600,10246.5116279,1.04898728487
188,42,435000,10357.1428571,1.07943173927
189,46,433800,9430.43478261,1.08039640809
190,43,440200,10237.2093023,1.06029735576
191,46,432400,9400.0,1.05872643907
192,46,427200,9286.95652174,1.08106366041
193,43,437400,10172.0930233,1.06299273291
194,42,440800,10495.2380952,1.04800535933
195,45,432800,9617.77777778,1.08912431742
196,49,432200,8820.40816327,1.0637539452
197,43,438200,10190.6976744,1.07041545623
198,42,441400,10509.5238095,1.06481621834
199,47,431000,9170.21276596,1.08863461739
200,42,435800,10376.1904762,1.09667248391
