epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,90,176520,1961.33333333,7.81658433283
2,90,143724,1596.93333333,16.409935059
3,79,174857,2213.37974684,21.6758171898
4,86,222897,2591.8255814,25.1106658785
5,98,182686,1864.14285714,27.1080232229
6,94,234004,2489.40425532,26.6641147552
7,90,220024,2444.71111111,25.8975540289
8,65,140659,2163.98461538,24.6484023304
9,77,144181,1872.48051948,23.8780139811
10,59,134660,2282.37288136,23.0107472057
11,89,211879,2380.66292135,21.8655802118
12,68,141011,2073.69117647,20.8812973836
13,95,209367,2203.86315789,19.9133546785
14,99,298736,3017.53535354,19.2913427019
15,98,301804,3079.63265306,18.9769361892
16,95,323819,3408.62105263,18.5762437271
17,96,365851,3810.94791667,18.7582293429
18,103,312726,3036.17475728,19.0960648883
19,97,395472,4077.03092784,19.9224888555
20,103,392099,3806.78640777,21.1159922842
21,99,421268,4255.23232323,22.7754181667
22,100,457023,4570.23,24.9872247136
23,97,446002,4597.95876289,27.2077068391
24,103,450945,4378.10679612,29.1044709003
25,100,508615,5086.15,31.4323079866
26,103,483852,4697.59223301,33.1913251297
27,96,559339,5826.44791667,35.4529035272
28,103,517725,5026.45631068,37.1099024516
29,103,545785,5298.88349515,38.2901070932
30,105,515378,4908.36190476,39.4756819843
31,97,569953,5875.80412371,40.6166535125
32,95,581861,6124.85263158,41.0879301881
33,100,560244,5602.44,42.0898034743
34,98,563649,5751.52040816,42.8741724262
35,96,577432,6014.91666667,43.6120454577
36,100,588633,5886.33,43.9540726441
37,97,600666,6192.43298969,44.7256411698
38,97,600911,6194.95876289,45.0915219228
39,97,609868,6287.29896907,45.4369246064
40,95,601669,6333.35789474,45.8950990939
41,99,599942,6060.02020202,46.4288488214
42,98,616385,6289.64285714,45.974195694
43,100,602779,6027.79,46.6771907527
44,97,644648,6645.8556701,47.071896697
45,99,632707,6390.97979798,47.1520155918
46,100,648050,6480.5,47.5629474836
47,98,644526,6576.79591837,47.7423159549
48,96,640656,6673.5,48.0684011048
49,96,639338,6659.77083333,48.2398330608
50,99,651616,6581.97979798,49.1014019245
51,97,649854,6699.5257732,49.2926923826
52,92,647141,7034.14130435,49.3273750418
53,96,651104,6782.33333333,49.4402265183
54,93,644936,6934.79569892,50.202155674
55,94,661318,7035.29787234,49.8398426783
56,95,646271,6802.85263158,49.9305129146
57,91,671643,7380.69230769,50.3835035838
58,96,661523,6890.86458333,50.2209003917
59,93,664263,7142.61290323,50.9018128765
60,100,656711,6567.11,50.5492414624
61,95,671895,7072.57894737,50.6672270323
62,91,674208,7408.87912088,51.674376246
63,97,654779,6750.29896907,51.2634310116
64,91,665112,7308.92307692,51.5350261205
65,93,669987,7204.16129032,51.306626947
66,95,665823,7008.66315789,50.7929801808
67,90,694661,7718.45555556,51.1676522313
68,90,679282,7547.57777778,50.7677593931
69,93,657496,7069.84946237,50.5731771835
70,93,664173,7141.64516129,50.8841983445
71,94,675405,7185.15957447,50.3617900325
72,92,674421,7330.66304348,50.1007033452
73,97,669580,6902.88659794,49.7739368066
74,91,682120,7495.82417582,50.403038977
75,90,679215,7546.83333333,50.3441855631
76,99,662333,6690.23232323,49.851299516
77,99,652463,6590.53535354,50.1327717165
78,101,653728,6472.55445545,49.9027085843
79,97,670829,6915.7628866,50.0377610836
80,93,672128,7227.1827957,49.9151590603
81,92,682577,7419.31521739,50.3179679257
82,97,679370,7003.81443299,50.8114980426
83,92,679096,7381.47826087,50.7480746897
84,94,657610,6995.85106383,50.7920537955
85,93,680679,7319.12903226,50.7227908371
86,96,673648,7017.16666667,50.5984347113
87,94,665755,7082.5,50.5994393128
88,90,685669,7618.54444444,50.7505343063
89,89,680851,7650.01123596,50.3295570059
90,91,682004,7494.54945055,50.3180169465
91,96,681485,7098.80208333,49.958356773
92,94,666021,7085.32978723,49.8483956389
93,92,670693,7290.14130435,50.1044677722
94,98,658916,6723.63265306,50.3179521587
95,97,673835,6946.75257732,50.1615694199
96,97,670928,6916.78350515,50.0075581118
97,97,679065,7000.67010309,50.0703210918
98,93,681695,7330.05376344,49.9984264164
99,93,687837,7396.09677419,49.4308935397
100,89,691920,7774.38202247,49.7194253529
101,96,666227,6939.86458333,49.9825595415
102,90,685982,7622.02222222,49.9095513395
103,91,675071,7418.36263736,50.2667044351
104,98,669859,6835.29591837,50.1376702943
105,92,677610,7365.32608696,50.2475174431
106,91,690399,7586.8021978,49.9883840898
107,96,675022,7031.47916667,49.7713109846
108,93,685373,7369.60215054,50.3606424574
109,94,681064,7245.36170213,50.139589122
110,91,674000,7406.59340659,50.7709125944
111,91,685082,7528.37362637,50.5581506313
112,93,680976,7322.32258065,50.7488756872
113,92,693964,7543.08695652,50.6865959452
114,96,680171,7085.11458333,50.7321695644
115,100,640759,6407.59,50.7911550222
116,94,685687,7294.54255319,50.242526336
117,92,680220,7393.69565217,50.2852447909
118,89,690092,7753.84269663,50.0828062044
119,93,670750,7212.3655914,50.6202290527
120,99,671140,6779.19191919,50.9997855368
121,92,678562,7375.67391304,50.6245100584
122,92,704831,7661.20652174,50.3288670455
123,93,695701,7480.65591398,50.0379075329
124,103,661899,6426.2038835,50.3378945044
125,92,691753,7519.05434783,49.9006054292
126,95,691673,7280.76842105,50.07307904
127,95,685066,7211.22105263,50.5619950529
128,94,692475,7366.75531915,50.7685789626
129,92,688828,7487.26086957,50.8736268847
130,98,665099,6786.7244898,50.3074824859
131,92,693303,7535.90217391,50.5911472216
132,93,696623,7490.56989247,50.3219945573
133,92,693086,7533.54347826,50.6436909445
134,93,692030,7441.1827957,50.8532667143
135,94,691947,7361.13829787,51.0118252634
136,93,687843,7396.16129032,50.964955039
137,90,697213,7746.81111111,50.4713077534
138,93,697296,7497.80645161,50.0995291848
139,91,710880,7811.86813187,50.1407105227
140,91,697190,7661.42857143,50.248685272
141,95,694927,7315.02105263,50.0206719631
142,94,673665,7166.64893617,50.4994521615
143,91,705009,7747.35164835,50.4435539751
144,92,691611,7517.51086957,50.3210979634
145,93,687017,7387.27956989,50.2621557465
146,92,702286,7633.54347826,50.259089629
147,92,697761,7584.35869565,50.2265970924
148,93,696538,7489.65591398,50.5085962169
149,93,692674,7448.10752688,50.2766524342
150,92,696788,7573.7826087,50.1015683453
151,92,703845,7650.48913043,50.2051119425
152,93,695087,7474.05376344,50.1260581287
153,91,694676,7633.8021978,49.8474292851
154,97,686374,7076.02061856,49.6630683897
155,92,696578,7571.5,49.7796922163
156,90,690044,7667.15555556,49.8581057736
157,91,698976,7681.05494505,49.7523889273
158,92,687924,7477.43478261,49.6271398832
159,90,692005,7688.94444444,49.7544561795
160,93,700817,7535.66666667,49.7928987665
161,93,691758,7438.25806452,49.6752463703
162,92,690919,7509.98913043,49.8464817927
163,93,699136,7517.59139785,50.3669113623
164,95,691853,7282.66315789,50.2411458784
165,93,701277,7540.61290323,50.2684520725
166,92,696392,7569.47826087,50.1158938844
167,94,686210,7300.10638298,50.2264715543
168,92,685967,7456.16304348,50.2034405036
169,91,693945,7625.76923077,50.0710646002
170,94,690522,7345.9787234,49.9928073952
171,91,695459,7642.40659341,50.0458491075
172,92,702639,7637.38043478,49.8848060944
173,91,696807,7657.21978022,50.3554745477
174,97,684482,7056.51546392,50.1190649081
175,94,690250,7343.08510638,50.1821307352
176,91,699430,7686.04395604,49.9973614444
177,95,701924,7388.67368421,50.0120220303
178,96,686166,7147.5625,49.7448576121
179,90,700056,7778.4,49.3197626156
180,93,689146,7410.17204301,49.6716634238
181,89,696451,7825.29213483,49.7066804363
182,93,686912,7386.15053763,49.6858098851
183,98,691661,7057.76530612,49.4750878935
184,93,690313,7422.72043011,49.4964524885
185,95,672440,7078.31578947,49.6758099977
186,95,696285,7329.31578947,49.4764846032
187,92,696003,7565.25,49.7849290581
188,98,671917,6856.29591837,49.9279800422
189,93,702587,7554.69892473,49.5976758096
190,91,704984,7747.07692308,49.9780476389
191,95,674213,7096.97894737,50.1349455266
192,93,696608,7490.40860215,49.9559686547
193,93,679523,7306.69892473,49.9837506276
194,89,703520,7904.71910112,49.9761027799
195,97,689661,7109.90721649,50.1850242356
196,90,700974,7788.6,49.9859487585
197,95,690130,7264.52631579,49.8116680305
198,92,714162,7762.63043478,49.8360593287
199,93,687005,7387.15053763,50.0068883295
200,92,691262,7513.7173913,49.8963579814
