epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,144,138300,960.416666667,0.959413155541
2,77,689000,8948.05194805,1.89225738831
3,69,463800,6721.73913043,2.78850611037
4,55,530100,9638.18181818,3.74399568094
5,50,726900,14538.0,4.78039287243
6,59,566900,9608.47457627,5.40955450581
7,55,661000,12018.1818182,5.85782969318
8,40,662100,16552.5,6.14118746982
9,42,718300,17102.3809524,6.40610640587
10,50,601700,12034.0,6.58749531364
11,37,630900,17051.3513514,6.52690121761
12,43,690800,16065.1162791,6.2922178972
13,41,770200,18785.3658537,6.29924140738
14,44,629400,14304.5454545,6.18934705692
15,41,680600,16600.0,6.08167645508
16,43,591300,13751.1627907,6.2091285585
17,54,509300,9431.48148148,6.28868054454
18,38,599700,15781.5789474,6.21422140642
19,43,610600,14200.0,6.05368106069
20,40,718400,17960.0,6.0394065327
21,39,619000,15871.7948718,6.07711545054
22,41,613500,14963.4146341,6.00940921882
23,38,678500,17855.2631579,5.84008759492
24,46,592000,12869.5652174,5.82120499125
25,37,671900,18159.4594595,5.70024467421
26,36,618800,17188.8888889,5.61049326454
27,39,637900,16356.4102564,5.55915840622
28,37,589100,15921.6216216,5.5088564442
29,39,610900,15664.1025641,5.4645481514
30,40,685600,17140.0,5.44363869947
31,37,657500,17770.2702703,5.40315347214
32,40,633500,15837.5,5.36312706795
33,40,577600,14440.0,5.36976081043
34,40,596900,14922.5,5.36550349162
35,38,636300,16744.7368421,5.3291459572
36,37,627000,16945.9459459,5.30152362898
37,40,590200,14755.0,5.29507048929
38,38,667200,17557.8947368,5.30545727202
39,40,629000,15725.0,5.31073918449
40,40,623300,15582.5,5.28467620966
41,36,630600,17516.6666667,5.32849567368
42,38,617300,16244.7368421,5.42278992065
43,37,610200,16491.8918919,5.46233344031
44,37,618500,16716.2162162,5.44959798367
45,38,641400,16878.9473684,5.37799215699
46,38,607900,15997.3684211,5.44604381509
47,38,608800,16021.0526316,5.35093813148
48,37,616000,16648.6486486,5.35823666014
49,39,608700,15607.6923077,5.27830877298
50,39,648000,16615.3846154,5.31746329497
51,35,644300,18408.5714286,5.28286877435
52,35,692300,19780.0,5.27043646661
53,41,681600,16624.3902439,5.26042361418
54,41,634100,15465.8536585,5.30357058123
55,38,655700,17255.2631579,5.2271883499
56,38,616200,16215.7894737,5.20051065529
57,39,668300,17135.8974359,5.16343067243
58,37,620000,16756.7567568,5.17381611011
59,36,649600,18044.4444444,5.17481912141
60,37,600400,16227.027027,5.15661870094
61,38,640500,16855.2631579,5.10884109289
62,37,622200,16816.2162162,5.14367544436
63,38,618200,16268.4210526,5.17030193975
64,37,618900,16727.027027,5.18959368887
65,36,602800,16744.4444444,5.18423643215
66,37,595900,16105.4054054,5.15138743895
67,36,617400,17150.0,5.09550401731
68,36,621100,17252.7777778,5.1062231848
69,36,591100,16419.4444444,5.12680993449
70,37,608100,16435.1351351,5.21979604787
71,35,606900,17340.0,5.32118217796
72,37,716300,19359.4594595,5.30174289513
73,37,647700,17505.4054054,5.28415482002
74,37,600500,16229.7297297,5.34735278291
75,35,627400,17925.7142857,5.3360112578
76,37,711900,19240.5405405,5.26828797542
77,37,620200,16762.1621622,5.27118876255
78,37,643100,17381.0810811,5.31251807922
79,39,766700,19658.974359,5.26729949139
80,37,666700,18018.9189189,5.22127711793
81,38,628100,16528.9473684,5.25000529817
82,37,646400,17470.2702703,5.26070396524
83,36,663200,18422.2222222,5.28907315329
84,37,663700,17937.8378378,5.22710230185
85,35,635000,18142.8571429,5.16321507844
86,36,674300,18730.5555556,5.10634442176
87,37,667500,18040.5405405,5.1223056881
88,34,711500,20926.4705882,5.12618852353
89,36,661000,18361.1111111,5.16841373281
90,38,666900,17550.0,5.24786181322
91,35,709900,20282.8571429,5.24791159225
92,39,610000,15641.025641,5.15136985307
93,36,680800,18911.1111111,5.14389209489
94,37,663500,17932.4324324,5.17876053544
95,40,675000,16875.0,5.19047745872
96,37,667000,18027.027027,5.22512605701
97,39,633100,16233.3333333,5.20577156118
98,37,704600,19043.2432432,5.12357229421
99,39,641600,16451.2820513,5.14484572765
100,37,688500,18608.1081081,5.19028464531
101,37,720900,19483.7837838,5.2077694243
102,41,681900,16631.7073171,5.24671490851
103,39,753000,19307.6923077,5.23207174955
104,37,637800,17237.8378378,5.14079594135
