epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,201,122680,610.348258706,2.4120622338
2,185,163330,882.864864865,4.20162221509
3,166,178810,1077.1686747,6.31442221009
4,175,189900,1085.14285714,7.71839310503
5,163,202140,1240.12269939,8.73144738598
6,167,198520,1188.74251497,9.59300604973
7,149,242330,1626.37583893,10.8808315713
8,155,268760,1733.93548387,11.9748650686
9,158,229120,1450.12658228,13.237576567
10,159,229740,1444.90566038,14.0259983262
11,154,240500,1561.68831169,14.7400225649
12,155,258750,1669.35483871,15.269500833
13,152,245170,1612.96052632,15.189331576
14,156,239360,1534.35897436,15.5537369824
15,155,221190,1427.03225806,16.1133500546
16,154,254080,1649.87012987,15.97260623
17,156,232290,1489.03846154,15.8702299407
18,157,241190,1536.24203822,15.9842663028
19,161,244700,1519.8757764,15.9461950822
20,156,246840,1582.30769231,15.8151708392
21,163,238530,1463.37423313,15.6780197311
22,163,257750,1581.28834356,15.4188732195
23,155,260190,1678.64516129,15.284036979
24,156,265560,1702.30769231,15.3419168693
25,159,246310,1549.11949686,15.3839180443
26,157,250600,1596.17834395,15.5032036549
27,158,267840,1695.18987342,15.5932289533
28,161,245700,1526.08695652,15.0131995943
29,152,265840,1748.94736842,14.8932605429
30,153,264810,1730.78431373,15.1154055258
31,149,264380,1774.36241611,14.8581278145
32,147,262460,1785.44217687,14.6615691412
33,147,271200,1844.89795918,14.8742060543
34,144,268780,1866.52777778,14.8767649753
35,146,273570,1873.76712329,15.1790361559
36,140,267830,1913.07142857,15.2158560736
37,142,270230,1903.02816901,15.6110537754
38,143,280760,1963.35664336,15.1699873383
39,145,278790,1922.68965517,15.518833431
40,140,272970,1949.78571429,15.2629562424
41,143,288200,2015.38461538,15.1673337739
42,136,296870,2182.86764706,14.9112411518
43,139,281320,2023.88489209,15.1507194362
44,140,287330,2052.35714286,15.4897551022
45,133,280190,2106.69172932,15.1465795611
46,139,291800,2099.28057554,14.7359076098
47,137,268820,1962.18978102,14.2310627609
48,140,282640,2018.85714286,14.7421291327
49,134,273310,2039.62686567,14.5428483655
50,129,257910,1999.30232558,14.6316768949
51,138,262960,1905.50724638,14.5828841494
52,129,264710,2052.01550388,14.4704166173
53,124,272060,2194.03225806,14.1984838611
54,132,270760,2051.21212121,14.5399435316
55,129,274010,2124.10852713,14.4657053695
56,130,273470,2103.61538462,14.7601279345
57,127,276780,2179.37007874,14.6923506521
58,129,275090,2132.48062016,14.52330632
59,126,272960,2166.34920635,14.739171683
60,125,261090,2088.72,14.2130451251
61,120,272840,2273.66666667,14.0602606675
62,126,266580,2115.71428571,14.3392921024
63,127,279380,2199.84251969,14.562056073
64,125,279850,2238.8,14.5813208823
65,124,275000,2217.74193548,14.6159505512
66,126,273060,2167.14285714,14.8759128058
67,124,268110,2162.17741935,15.2975681188
68,122,272780,2235.90163934,14.726022974
69,126,274550,2178.96825397,14.6399106646
70,123,266310,2165.12195122,14.6936266453
71,125,282140,2257.12,14.0544420766
72,122,279000,2286.8852459,14.1875723132
73,125,291140,2329.12,14.308452267
74,126,287770,2283.88888889,14.1237683505
75,125,283250,2266.0,14.8100782635
76,130,291450,2241.92307692,14.4512497665
77,127,283900,2235.43307087,14.5863635377
78,123,280370,2279.43089431,14.4315593126
79,123,284950,2316.66666667,13.8576510873
80,125,286090,2288.72,13.9930209931
81,122,273890,2245.0,14.1082688955
82,121,278930,2305.20661157,14.2161397287
83,123,295080,2399.02439024,14.2593042142
84,125,285030,2280.24,14.2294051709
85,124,294520,2375.16129032,14.6069579639
86,122,270670,2218.60655738,14.1916034254
