epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,52,102840,1977.69230769,1.246235204
2,61,73100,1198.36065574,1.98303147806
3,65,66640,1025.23076923,2.57144448658
4,48,120650,2513.54166667,3.26796313689
5,38,153370,4036.05263158,3.75489112302
6,33,157680,4778.18181818,4.22924300021
7,27,177590,6577.40740741,4.56849003078
8,30,174690,5823.0,5.09279885521
9,26,197250,7586.53846154,5.95044319154
10,28,192090,6860.35714286,7.03317206095
11,29,194510,6707.24137931,7.7395515037
12,26,198720,7643.07692308,8.08236764624
13,27,169660,6283.7037037,8.29255551761
14,27,174230,6452.96296296,8.6115044605
15,25,190050,7602.0,8.90788441548
16,26,168150,6467.30769231,8.98042477253
17,26,181480,6980.0,9.36637142247
18,26,183920,7073.84615385,9.37699328903
19,25,178960,7158.4,9.31739454291
20,27,178800,6622.22222222,9.30924829653
21,26,191190,7353.46153846,9.33720982115
22,25,186050,7442.0,9.20725888285
23,25,180290,7211.6,9.03876866402
24,24,197230,8217.91666667,9.23949813585
25,24,192450,8018.75,9.11045527296
26,25,192450,7698.0,9.13972913512
27,24,189270,7886.25,9.29937311983
28,24,186720,7780.0,9.14887927532
29,24,197840,8243.33333333,9.22634247484
30,23,193110,8396.08695652,9.28386181226
31,24,199260,8302.5,9.24834949794
32,24,192860,8035.83333333,9.05985168527
33,23,183860,7993.91304348,9.22049293873
34,24,193810,8075.41666667,8.9933532569
35,25,200710,8028.4,9.08750731004
36,24,192000,8000.0,9.12852189735
37,24,200230,8342.91666667,9.24898110943
38,23,194800,8469.56521739,9.46457486468
39,24,191920,7996.66666667,9.51709515043
40,23,194230,8444.7826087,9.43106782664
41,23,196420,8540.0,9.37680111493
42,23,199690,8682.17391304,9.31158079117
43,23,194770,8468.26086957,9.48603181852
44,23,197990,8608.26086957,9.48249422685
45,24,201330,8388.75,9.52055330198
46,23,192720,8379.13043478,9.33818245384
47,23,197390,8582.17391304,9.5767658552
48,23,194980,8477.39130435,9.30394568658
49,22,197180,8962.72727273,9.24506275833
50,21,188280,8965.71428571,9.20806949641
51,23,203700,8856.52173913,9.26483450988
52,23,198180,8616.52173913,9.21526359331
53,24,187410,7808.75,9.17527215566
54,24,194450,8102.08333333,9.13333346145
55,24,195540,8147.5,9.29955697832
56,22,194070,8821.36363636,9.23063967644
57,24,198340,8264.16666667,9.1535326199
58,23,194080,8438.26086957,9.30036818616
59,23,200520,8718.26086957,9.17347401834
60,24,193740,8072.5,9.32612140038
61,24,197850,8243.75,9.27760653996
62,25,201770,8070.8,9.48092769473
63,24,196300,8179.16666667,9.50116785097
64,23,198380,8625.2173913,9.38386172054
65,24,193040,8043.33333333,9.2847309452
66,24,203010,8458.75,9.23657005714
67,23,197590,8590.86956522,9.35714262303
68,24,194240,8093.33333333,9.34493988265
