epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,46,0,0.0,0.60182092421
2,46,0,0.0,0.691343484139
3,46,-25365,-551.413043478,0.801343959275
4,46,4300,93.4782608696,0.974802822387
5,46,400,8.69565217391,1.08356403335
6,46,3700,80.4347826087,1.18523781175
7,46,4000,86.9565217391,1.26057459046
8,46,4600,100.0,1.3320004815
9,46,4600,100.0,1.36892102045
10,46,4600,100.0,1.41129573492
11,46,4600,100.0,1.35668507208
12,46,3481,75.6739130435,1.23502959561
13,46,4600,100.0,1.13346077383
14,46,4600,100.0,1.00809199537
15,46,4600,100.0,0.911144351903
16,46,4600,100.0,0.849704481193
17,46,4600,100.0,0.773578784347
18,46,4596,99.9130434783,0.716014805404
19,46,4545,98.8043478261,0.684797171443
20,46,4624,100.52173913,0.671567388971
21,46,4600,100.0,0.652295412367
22,46,8400,182.608695652,0.666793693907
23,46,4600,100.0,0.649257985222
24,46,3700,80.4347826087,0.636689202469
25,46,4600,100.0,0.62492169557
26,46,4600,100.0,0.586501511749
27,46,-1400,-30.4347826087,0.589499821584
28,46,4297,93.4130434783,0.614126165282
29,46,4600,100.0,0.666536119003
30,46,4600,100.0,0.708762328739
31,46,4600,100.0,0.747337954027
32,46,4600,100.0,0.73433082183
33,46,4598,99.9565217391,0.683690262474
34,46,4558,99.0869565217,0.664721494603
35,46,4600,100.0,0.645362377308
36,46,3950,85.8695652174,0.648242953719
37,46,4600,100.0,0.654917712512
38,46,4600,100.0,0.646765340884
39,46,4600,100.0,0.646534184052
40,46,4600,100.0,0.637745535017
41,46,4600,100.0,0.626983863225
42,46,4600,100.0,0.638394689874
43,46,4600,100.0,0.670921221816
44,46,4600,100.0,0.672568181007
45,46,4751,103.282608696,0.687228455732
46,46,4600,100.0,0.6752382081
47,46,4600,100.0,0.669827855269
48,46,4600,100.0,0.685098264893
49,46,4658,101.260869565,0.692417351881
50,46,3700,80.4347826087,0.647063981753
51,46,4600,100.0,0.634536019355
52,46,4600,100.0,0.634626796977
53,46,4600,100.0,0.643666805566
54,46,4600,100.0,0.641888057482
55,46,4600,100.0,0.62710070713
56,46,4600,100.0,0.606733534477
57,46,4633,100.717391304,0.615914585573
58,46,4840,105.217391304,0.606198658195
59,46,4600,100.0,0.615852279669
60,46,4600,100.0,0.617983311896
61,46,4600,100.0,0.630185901817
62,46,4600,100.0,0.642671815546
63,46,4578,99.5217391304,0.638421061395
64,46,4600,100.0,0.634713070248
65,46,4600,100.0,0.644892464961
66,46,4600,100.0,0.679047067617
67,46,4600,100.0,0.654170534869
68,46,4600,100.0,0.662844435949
69,46,2241,48.7173913043,0.670518879944
70,46,4600,100.0,0.66985905708
71,46,3119,67.8043478261,0.675523579568
72,46,4600,100.0,0.699414577214
73,46,4625,100.543478261,0.688009206282
74,46,4600,100.0,0.693584171879
75,46,4200,91.3043478261,0.680445714956
76,46,4660,101.304347826,0.663509055767
77,46,3900,84.7826086957,0.639257145423
78,46,2204,47.9130434783,0.614992572147
79,46,4600,100.0,0.618330928994
80,46,3874,84.2173913043,0.588082195374
81,46,4600,100.0,0.571249820736
82,46,4600,100.0,0.568885442322
83,46,4600,100.0,0.578351908678
84,46,4600,100.0,0.561425112819
85,46,4600,100.0,0.588958810118
86,46,4660,101.304347826,0.593109706509
87,46,4600,100.0,0.584592910757
88,46,3573,77.6739130435,0.584412874145
89,46,4600,100.0,0.582434158222
90,46,4467,97.1086956522,0.588004958977
91,46,418,9.08695652174,0.587337534495
92,46,3046,66.2173913043,0.594591746178
93,46,4600,100.0,0.598458032389
94,46,4600,100.0,0.580428191229
95,46,4600,100.0,0.582698102343
96,46,4723,102.673913043,0.583608683059
97,46,4600,100.0,0.584654834608
98,46,4600,100.0,0.609332240691
99,46,4665,101.413043478,0.610821476375
100,46,4600,100.0,0.611769201549
101,46,2799,60.847826087,0.58943747182
102,46,3847,83.6304347826,0.584634638953
103,46,4600,100.0,0.580037124039
104,46,4656,101.217391304,0.58769151093
105,46,4631,100.673913043,0.582366789
106,46,4600,100.0,0.584300665974
107,46,4300,93.4782608696,0.57884650221
108,46,2500,54.347826087,0.566439916043
109,46,-515,-11.1956521739,0.551614745948
110,46,4700,102.173913043,0.553436636186
111,46,4717,102.543478261,0.542999871076
112,46,4600,100.0,0.531204273452
113,46,4600,100.0,0.52899459816
114,46,4600,100.0,0.532712658291
115,46,4683,101.804347826,0.534014966565
116,46,4600,100.0,0.526394319166
117,46,4600,100.0,0.530868527408
118,46,6052,131.565217391,0.538983633147
119,46,4611,100.239130435,0.544171124926
120,46,4600,100.0,0.55100762898
121,46,5345,116.195652174,0.527483097956
122,46,4600,100.0,0.517178762244
123,46,4600,100.0,0.513853963607
124,46,4600,100.0,0.506264560767
125,46,6503,141.369565217,0.522829260699
126,46,4838,105.173913043,0.522168737783
127,46,4600,100.0,0.529756115519
128,46,4600,100.0,0.527460970458
129,46,4600,100.0,0.528878871042
130,46,4600,100.0,0.537699440939
131,46,4600,100.0,0.530210326826
132,46,6330,137.608695652,0.522607976501
133,46,4452,96.7826086957,0.508957651397
134,46,3871,84.152173913,0.504572773277
135,46,4200,91.3043478261,0.492507773618
136,46,4600,100.0,0.48655892081
137,46,4600,100.0,0.496058506712
138,46,4600,100.0,0.520134081906
139,46,4600,100.0,0.538502929913
140,46,4600,100.0,0.540771459203
141,46,4790,104.130434783,0.529818051237
142,46,4600,100.0,0.530124579464
143,46,4600,100.0,0.519597056952
144,46,4600,100.0,0.510871738405
145,46,4600,100.0,0.48122580472
146,46,4600,100.0,0.479310981476
147,46,4600,100.0,0.485251733417
148,46,8684,188.782608696,0.477379758476
149,46,20000,434.782608696,0.495194626034
