epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,287,261460,911.010452962,1.17088127136
2,611,17210,28.1669394435,1.91885364056
3,611,15930,26.0720130933,2.49537372589
4,610,12150,19.9180327869,2.7551869978
5,611,104160,170.474631751,2.90999195129
6,611,104160,170.474631751,2.87013506889
7,287,264030,919.965156794,2.83554240063
8,285,260340,913.473684211,2.73120431609
9,286,262920,919.300699301,2.6840646635
10,107,153340,1433.08411215,2.65598034859
11,286,263610,921.713286713,2.60268950462
12,287,262240,913.728222997,2.61582159996
13,288,265420,921.597222222,2.60572004318
14,288,261180,906.875,2.58587551117
15,610,210540,345.147540984,2.56036543846
16,287,263980,919.790940767,2.49105381966
17,203,235810,1161.62561576,2.45831823349
18,204,238610,1169.65686275,2.45650744438
19,396,111020,280.353535354,2.42720317841
20,201,236760,1177.91044776,2.42537975311
21,286,260580,911.118881119,2.38639068604
22,286,262900,919.230769231,2.37373709679
23,288,261590,908.298611111,2.36979674913
24,611,240520,393.649754501,2.34893035889
25,286,261810,915.41958042,2.32491063766
26,286,260580,911.118881119,2.30230375193
27,289,265030,917.058823529,2.25940129265
28,200,236010,1180.05,2.25162214257
29,611,17990,29.4435351882,2.23977867693
30,402,106070,263.855721393,2.24039406136
31,287,263870,919.407665505,2.24137839817
32,286,261220,913.356643357,2.25995707512
33,203,237920,1172.01970443,2.26052951813
34,286,262130,916.538461538,2.25392603874
35,611,243160,397.970540098,2.28474283218
36,289,263940,913.287197232,2.29141998291
37,203,237740,1171.13300493,2.27171182632
38,611,211500,346.153846154,2.29185962677
39,611,242680,397.184942717,2.26530408859
40,287,260230,906.724738676,2.256503582
41,287,261260,910.31358885,2.24979186058
42,611,210840,345.073649755,2.21721386909
43,287,264700,922.299651568,2.21855664253
44,611,16420,26.8739770867,2.22987651825
45,202,237270,1174.6039604,2.24824762344
46,201,235990,1174.07960199,2.26032400131
47,289,263130,910.484429066,2.24355316162
48,200,234200,1171.0,2.22512888908
49,396,110360,278.686868687,2.20800542831
50,286,262600,918.181818182,2.18964958191
51,202,236590,1171.23762376,2.1827275753
52,611,243400,398.363338789,2.17257547379
53,611,244840,400.720130933,2.16229104996
54,286,260860,912.097902098,2.17913889885
55,289,264310,914.567474048,2.20663642883
56,288,263700,915.625,2.23504185677
57,285,260810,915.122807018,2.21858668327
58,202,236160,1169.10891089,2.23195552826
59,286,263110,919.965034965,2.22676086426
60,289,263070,910.276816609,2.1919400692
61,287,265830,926.236933798,2.2168970108
62,106,153500,1448.11320755,2.19251132011
63,107,155340,1451.77570093,2.17968320847
64,286,264100,923.426573427,2.16784143448
65,287,260970,909.303135889,2.1659514904
66,204,238550,1169.3627451,2.15014028549
67,286,263120,920.0,2.15822458267
68,285,260840,915.228070175,2.15832138062
69,201,236520,1176.71641791,2.15145015717
70,202,236290,1169.75247525,2.13843178749
71,611,12600,20.6219312602,2.13878583908
72,611,245720,402.160392799,2.14181566238
73,611,246200,402.94599018,2.16713452339
74,202,234380,1160.2970297,2.17717599869
75,205,237690,1159.46341463,2.20864796638
76,288,263410,914.618055556,2.20229625702
77,287,264580,921.881533101,2.20162963867
78,287,263630,918.571428571,2.18709135056
79,611,211200,345.662847791,2.17852973938
80,287,261960,912.75261324,2.17961502075
81,203,236350,1164.28571429,2.17864322662
82,611,242360,396.661211129,2.15722799301
83,287,262030,912.996515679,2.15921521187
84,286,261750,915.20979021,2.14404702187
85,106,152210,1435.94339623,2.14871931076
86,285,262230,920.105263158,2.12723040581
87,287,263600,918.466898955,2.11899662018
88,286,261720,915.104895105,2.12399673462
