epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,1292,0,0.0,0.436743016113
2,1041,0,0.0,0.606637803195
3,315,328100,1041.58730159,0.892921852753
4,137,536400,3915.32846715,1.2482278832
5,403,475200,1179.15632754,1.83200855585
6,227,1088000,4792.95154185,2.49132465658
7,134,935300,6979.85074627,3.28741880974
8,111,1693500,15256.7567568,4.04668484577
9,125,2055900,16447.2,4.58174668547
10,119,2283300,19187.394958,5.34695372239
11,110,2373300,21575.4545455,6.17259981778
12,116,2356700,20316.3793103,6.53203132698
13,114,2562800,22480.7017544,6.80579505067
14,108,2520600,23338.8888889,7.25502008303
15,110,2763100,25119.0909091,7.8086815062
16,108,2567200,23770.3703704,7.85652561323
17,102,2309000,22637.254902,8.05824240859
18,103,2791900,27105.8252427,8.13683936684
19,106,2647800,24979.245283,7.80917499131
20,109,2712400,24884.4036697,7.80619743383
21,81,2083800,25725.9259259,7.57742810237
22,105,3005500,28623.8095238,8.07204193569
23,110,3031200,27556.3636364,8.37606599702
24,108,2849300,26382.4074074,8.53041054216
25,109,2929800,26878.8990826,8.78821772537
26,107,3038000,28392.5233645,8.61220752567
27,104,2980400,28657.6923077,8.66268719755
28,71,2045600,28811.2676056,8.67639892609
29,106,2801300,26427.3584906,8.68383195823
30,105,3018300,28745.7142857,8.56802262931
31,102,2861000,28049.0196078,8.459732793
32,103,3100800,30104.8543689,8.35333018838
33,36,967300,26869.4444444,8.43305162375
34,105,3024600,28805.7142857,8.34654303098
35,105,3297300,31402.8571429,8.58232293953
36,104,3246300,31214.4230769,8.31931407094
37,121,3148700,26022.3140496,8.38256211704
38,106,3128900,29517.9245283,8.34960691055
39,116,3296500,28418.1034483,8.49782221258
40,105,3263400,31080.0,8.33124585849
41,111,3304700,29772.0720721,8.60914038217
42,110,3415300,31048.1818182,8.75202198112
43,133,3213900,24164.6616541,8.79123315682
44,113,3402600,30111.5044248,8.78050766951
45,113,3350300,29648.6725664,8.73946429434
46,112,3575200,31921.4285714,8.84897985634
47,111,3558400,32057.6576577,8.84427261062
48,115,3487100,30322.6086957,8.94991858484
49,117,3572500,30534.1880342,8.93719293544
50,114,3761800,32998.245614,8.71203144208
51,112,3677400,32833.9285714,8.66590234471
52,138,3707000,26862.3188406,8.65570894084
53,112,3644800,32542.8571429,8.63961477972
54,116,3707600,31962.0689655,8.8388487835
55,109,3597900,33008.2568807,8.80090945062
56,99,3384800,34189.8989899,8.86415224434
57,99,3165500,31974.7474747,8.80433710669
58,111,3662400,32994.5945946,8.76844652858
59,113,3637000,32185.840708,8.91195197107
60,113,3897400,34490.2654867,8.8494238078
61,135,3745900,27747.4074074,9.10467152986
62,116,3763200,32441.3793103,9.04990230154
63,105,3633700,34606.6666667,9.21296421843
64,112,3782700,33774.1071429,9.11756168234
65,114,3594300,31528.9473684,8.81369206653
66,115,3789900,32955.6521739,9.08742964833
67,102,3453200,33854.9019608,8.79755195707
68,110,3897800,35434.5454545,8.67110510887
69,114,3708400,32529.8245614,8.65585301496
70,115,3900100,33913.9130435,8.66184233661
71,112,3842000,34303.5714286,8.5840196282
72,107,3865200,36123.364486,8.64554882711
73,113,3742400,33118.5840708,8.58187225461
74,131,3908100,29832.8244275,8.75020141455
75,110,3974400,36130.9090909,9.02083108949
76,106,3834200,36171.6981132,9.06382035814
77,105,3698300,35221.9047619,8.99988286552
78,107,3804000,35551.4018692,8.90574872732
79,102,3710500,36377.4509804,9.06155433057
80,105,3937100,37496.1904762,9.11380271029
81,107,3857400,36050.4672897,9.02091985813
82,109,3774200,34625.6880734,9.04212540535
83,117,4002800,34211.965812,9.11637516763
84,109,4086000,37486.2385321,9.05025732183
85,111,3951300,35597.2972973,9.01040383
86,122,4147600,33996.7213115,9.10974003374
87,119,4205800,35342.8571429,8.94054261354
88,115,4020200,34958.2608696,9.15480815876
89,116,4172100,35966.3793103,9.02900969816
90,112,4127200,36850.0,9.04774066543
91,110,4254100,38673.6363636,8.91785058607
92,108,4041700,37423.1481481,8.96276922584
93,109,4105600,37666.0550459,8.89251670032
94,110,4022000,36563.6363636,9.0338229701
95,138,4010400,29060.8695652,9.22049179939
96,111,4165500,37527.027027,9.16164451693
97,114,4272000,37473.6842105,9.12376096154
98,114,4078500,35776.3157895,9.06433926007
99,114,4234300,37142.9824561,9.28905837509
100,116,4210300,36295.6896552,9.20625079955
101,110,4171500,37922.7272727,9.24573176856
102,113,4287000,37938.0530973,9.10313353907
103,114,4323100,37921.9298246,9.15279307057
104,115,4158300,36159.1304348,9.22476144672
105,112,4285700,38265.1785714,9.07260215713
106,131,4374800,33395.4198473,9.20782936848
107,114,4304200,37756.1403509,9.30735715557
108,111,4217900,37999.0990991,9.15020187119
109,114,4284200,37580.7017544,9.20177858537
110,112,4322000,38589.2857143,9.12435234566
111,111,4399500,39635.1351351,9.00570274414
112,108,4134200,38279.6296296,8.94858198762
113,114,4378800,38410.5263158,8.9687406138
114,115,4265900,37094.7826087,9.03961671981
