epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,36,235,6.52777777778,0.532081518229
2,55,47,0.854545454545,0.798316724543
3,43,140,3.25581395349,1.00681681734
4,58,219,3.77586206897,1.21101228943
5,54,96,1.77777777778,1.41104699109
6,44,105,2.38636363636,1.72836665161
7,69,136,1.97101449275,1.80587752994
8,62,103,1.66129032258,1.94832166415
9,66,143,2.16666666667,1.97149312824
10,55,117,2.12727272727,1.93588073175
11,71,162,2.28169014085,1.80573232085
12,66,129,1.95454545455,1.65309669591
13,57,115,2.01754385965,1.47188405693
14,52,112,2.15384615385,1.27439349643
15,61,151,2.47540983607,1.10155293457
16,55,153,2.78181818182,0.958806799557
17,45,111,2.46666666667,0.845996512375
18,39,230,5.89743589744,0.758996120028
19,29,198,6.8275862069,0.722026758108
20,34,290,8.52941176471,0.685775293736
21,30,233,7.76666666667,0.630094710428
22,32,327,10.21875,0.595192299254
23,31,295,9.51612903226,0.577094531424
24,26,270,10.3846153846,0.55943370686
25,25,333,13.32,0.521058440647
26,27,379,14.037037037,0.497475723487
27,28,332,11.8571428571,0.515696204051
28,27,360,13.3333333333,0.526681614571
29,27,337,12.4814814815,0.536140271538
30,27,342,12.6666666667,0.556236018393
31,28,321,11.4642857143,0.531269548072
32,26,313,12.0384615385,0.530537127906
33,26,380,14.6153846154,0.526925413777
34,24,307,12.7916666667,0.523733689468
35,26,368,14.1538461538,0.523964714786
36,24,380,15.8333333333,0.534316971903
37,27,406,15.037037037,0.54377260478
38,23,471,20.4782608696,0.545115811407
39,24,359,14.9583333333,0.545409960507
40,24,386,16.0833333333,0.537365228944
41,23,422,18.347826087,0.541136896859
42,24,375,15.625,0.550498575096
43,25,405,16.2,0.581653224272
44,26,378,14.5384615385,0.589231850328
45,23,341,14.8260869565,0.589106536536
46,24,447,18.625,0.577230291145
47,26,450,17.3076923077,0.576840760957
48,25,407,16.28,0.582635033729
49,24,420,17.5,0.594311059855
50,22,374,17.0,0.587162177281
51,22,418,19.0,0.568154934193
52,24,384,16.0,0.553699958432
53,23,406,17.652173913,0.57291769641
54,26,402,15.4615384615,0.562138742725
55,23,404,17.5652173913,0.557117615
56,26,422,16.2307692308,0.5448882629
57,30,443,14.7666666667,0.55272586508
58,25,463,18.52,0.558122837029
59,23,408,17.7391304348,0.575499971777
60,26,420,16.1538461538,0.584068147845
61,23,416,18.0869565217,0.562987828746
62,24,478,19.9166666667,0.575398450857
63,23,387,16.8260869565,0.562796525985
64,24,423,17.625,0.571831248878
65,26,409,15.7307692308,0.566623565333
66,26,480,18.4615384615,0.573153995858
67,23,358,15.5652173913,0.572143427727
68,23,422,18.347826087,0.569469568734
69,23,433,18.8260869565,0.587927369997
70,23,414,18.0,0.590694340295
71,26,453,17.4230769231,0.603244821089
72,23,408,17.7391304348,0.598946343621
73,23,432,18.7826086957,0.586282578839
74,24,404,16.8333333333,0.585877103256
75,24,492,20.5,0.594797995919
76,25,462,18.48,0.606618541456
77,24,423,17.625,0.602905077846
78,21,369,17.5714285714,0.598446188138
79,22,424,19.2727272727,0.60701123365
80,23,437,19.0,0.608433333056
81,23,415,18.0434782609,0.612648856994
82,21,383,18.2380952381,0.606100731175
83,21,450,21.4285714286,0.609802919468
84,24,427,17.7916666667,0.607228396949
85,22,461,20.9545454545,0.611826472266
86,24,471,19.625,0.62183671423
87,24,382,15.9166666667,0.635102271354
88,23,424,18.4347826087,0.626366970448
89,24,466,19.4166666667,0.631357961234
90,23,466,20.2608695652,0.633014872984
91,23,480,20.8695652174,0.6260017654
92,22,453,20.5909090909,0.623631842623
93,22,441,20.0454545455,0.615674604406
94,22,447,20.3181818182,0.631286654205
95,20,418,20.9,0.627653289821
96,22,428,19.4545454545,0.620668774075
97,23,435,18.9130434783,0.641419666905
98,26,462,17.7692307692,0.645119108025
99,22,396,18.0,0.644161414942
100,22,456,20.7272727273,0.650089774856
101,24,503,20.9583333333,0.665943621581
102,19,390,20.5263157895,0.65987186322
103,23,501,21.7826086957,0.650503371924
104,23,442,19.2173913043,0.654245311157
105,26,409,15.7307692308,0.653261721018
106,23,476,20.6956521739,0.642715407303
107,20,389,19.45,0.620509138217
108,22,492,22.3636363636,0.603687500104
109,21,427,20.3333333333,0.608727911036
110,23,420,18.2608695652,0.62555885768
111,22,415,18.8636363636,0.641436384351
112,23,546,23.7391304348,0.642560038455
113,22,467,21.2272727273,0.637487224375
114,22,397,18.0454545455,0.638035763053
115,20,379,18.95,0.644108601634
116,22,433,19.6818181818,0.641564484364
117,22,446,20.2727272727,0.658724955444
118,23,536,23.3043478261,0.653196091452
119,21,453,21.5714285714,0.658991320855
120,19,432,22.7368421053,0.657515612456
121,22,484,22.0,0.651503685385
122,23,435,18.9130434783,0.634156318265
123,21,465,22.1428571429,0.637727322353
124,21,425,20.2380952381,0.652144355914
125,20,402,20.1,0.655023128181
126,20,467,23.35,0.646280001139
127,23,422,18.347826087,0.647446677783
128,23,481,20.9130434783,0.656815144669
129,23,424,18.4347826087,0.649987283533
130,22,445,20.2272727273,0.6521459955
131,21,451,21.4761904762,0.645016810328
132,21,437,20.8095238095,0.659236524787
133,21,457,21.7619047619,0.662473380563
134,20,455,22.75,0.665187940756
135,21,418,19.9047619048,0.664666917315
136,23,463,20.1304347826,0.648620570998
137,23,447,19.4347826087,0.648053470631
138,21,431,20.5238095238,0.643288252598
139,22,465,21.1363636364,0.631487735899
140,21,424,20.1904761905,0.63955777637
141,24,468,19.5,0.632957842348
142,23,483,21.0,0.645846583599
