epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,107,35860,335.140186916,1.14416318559
2,109,42580,390.642201835,2.50336144004
3,121,51100,422.314049587,3.51539346911
4,91,43600,479.120879121,4.20462999602
5,76,62000,815.789473684,4.63791816573
6,73,71160,974.794520548,4.81244626054
7,61,88160,1445.24590164,4.80346151614
8,68,114100,1677.94117647,5.00771461711
9,64,128780,2012.1875,5.19975438479
10,50,162280,3245.6,5.49028116308
11,51,160250,3142.15686275,5.61834534721
12,53,171390,3233.77358491,5.86891390014
13,50,188510,3770.2,6.1883493179
14,44,211140,4798.63636364,6.46110732535
15,45,243110,5402.44444444,6.76109142457
16,55,206590,3756.18181818,7.07316855318
17,54,202670,3753.14814815,7.32867993069
18,53,228000,4301.88679245,7.43284458108
19,50,243490,4869.8,7.56994789729
20,51,272780,5348.62745098,7.45511112995
21,51,284440,5577.25490196,7.45720355667
22,45,263590,5857.55555556,7.43473744474
23,44,318450,7237.5,7.42419689504
24,49,281420,5743.26530612,7.44750722292
25,40,317490,7937.25,7.6093350751
26,44,315380,7167.72727273,7.54355295784
27,43,337280,7843.72093023,7.75782230768
28,43,338360,7868.8372093,7.78850530728
29,43,345160,8026.97674419,7.81811490069
30,39,376450,9652.56410256,7.68622333112
31,38,371890,9786.57894737,7.6806612277
32,41,391880,9558.04878049,7.70922224095
33,37,401210,10843.5135135,7.56202597865
34,41,375110,9149.02439024,7.70278981907
35,36,420660,11685.0,7.65231646466
36,38,401780,10573.1578947,7.60905353462
37,41,380100,9270.73170732,7.66797874451
38,34,423120,12444.7058824,7.64458207008
39,38,416320,10955.7894737,7.60066451253
40,36,404960,11248.8888889,7.58990944122
41,36,403780,11216.1111111,7.72905575946
42,39,413630,10605.8974359,7.67112815136
43,34,433750,12757.3529412,7.62407176871
44,35,460780,13165.1428571,7.59336784323
45,38,398550,10488.1578947,7.64510289564
46,33,435290,13190.6060606,7.61009270885
47,34,461840,13583.5294118,7.60390218002
48,35,470740,13449.7142857,7.60827924671
49,33,458270,13886.969697,7.5793089667
50,37,404090,10921.3513514,7.513294699
51,34,469540,13810.0,7.37217198405
52,39,475250,12185.8974359,7.34931883337
53,34,446000,13117.6470588,7.40277808189
54,35,453960,12970.2857143,7.32699922182
55,35,476350,13610.0,7.31382664849
56,31,455960,14708.3870968,7.2279850149
57,30,503230,16774.3333333,7.17042509081
58,33,460620,13958.1818182,7.16197768691
59,32,507100,15846.875,7.14577677913
60,35,480620,13732.0,7.26572765056
61,33,474800,14387.8787879,7.30622192915
62,33,511280,15493.3333333,7.32983532879
63,31,478980,15450.9677419,7.2838158448
64,31,514250,16588.7096774,7.26017047063
65,32,496770,15524.0625,7.312714054
66,32,537870,16808.4375,7.26233345203
67,32,493690,15427.8125,7.25477910591
68,34,492170,14475.5882353,7.30200019852
69,36,470600,13072.2222222,7.25304101151
70,31,508700,16409.6774194,7.22161582821
71,34,514780,15140.5882353,7.24458421693
72,32,526820,16463.125,7.35071849565
73,33,509030,15425.1515152,7.36367966462
74,31,546530,17630.0,7.40175378573
75,34,537930,15821.4705882,7.37954878716
