epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,49,-1176,-24.0,0.286375354752
2,1,-1,-1.0,0.16286004799
3,1,-1,-1.0,0.0568361547205
4,78,-1872,-24.0,-0.0251359662344
5,1,0,0.0,-0.0928579568863
6,53,-1272,-24.0,-0.108167618513
7,1,-1,-1.0,-0.102328017354
8,1,0,0.0,-0.083066880703
9,1,-1,-1.0,-0.0658207014203
10,1,-1,-1.0,-0.0525623112917
11,66,-1573,-23.8333333333,-0.0410817936063
12,68,-1620,-23.8235294118,-0.0314892977476
13,1,-2,-2.0,-0.0243730694056
14,59,-1411,-23.9152542373,-0.0190606489778
15,1,-1,-1.0,-0.0143605619669
16,52,-1248,-24.0,-0.0106934309006
17,54,-1292,-23.9259259259,-0.00750599056482
18,58,-1389,-23.9482758621,-0.00436743348837
19,67,-1593,-23.776119403,-0.0032481700182
20,1,-1,-1.0,-0.00234662741423
21,1,-1,-1.0,-0.0015339627862
22,67,-1600,-23.8805970149,-0.000940188765526
23,1,-1,-1.0,0.00211056321859
24,54,-1296,-24.0,0.00174126029015
25,1,-1,-1.0,0.00145220756531
26,1,-1,-1.0,0.00147654116154
27,48,-1151,-23.9791666667,0.00129613280296
28,82,-1968,-24.0,0.000912897288799
29,1,-1,-1.0,0.00101619958878
30,1,-1,-1.0,0.000977270305157
31,56,-1340,-23.9285714286,0.00269048660994
32,67,-1600,-23.8805970149,0.00226543843746
33,51,-1224,-24.0,0.00191774219275
34,1,-1,-1.0,0.00358354300261
35,1,-1,-1.0,0.00396477431059
36,82,-1968,-24.0,0.00448449701071
37,49,-1174,-23.9591836735,0.00401405245066
38,82,-1968,-24.0,0.00356905907393
39,68,-1621,-23.8382352941,0.0049269720912
40,1,-1,-1.0,0.00259255617857
41,57,-1368,-24.0,0.00247345864773
42,55,-1316,-23.9272727273,0.00279202312231
43,1,-1,-1.0,0.00366530567408
44,68,-1625,-23.8970588235,0.00312987715006
45,1,-1,-1.0,0.00292045623064
46,1,0,0.0,0.00230269134045
47,1,0,0.0,0.00195668637753
48,1,-1,-1.0,0.00178734213114
49,48,-1149,-23.9375,0.00152404606342
50,57,-1364,-23.9298245614,0.00138381868601
51,1,-1,-1.0,0.00337588042021
52,1,-1,-1.0,0.00283179432154
53,1,-1,-1.0,0.00230768322945
54,53,-1268,-23.9245283019,0.00243904441595
55,58,-1391,-23.9827586207,0.00195044279099
56,1,-1,-1.0,0.0030379742384
57,82,-1968,-24.0,0.00363411009312
58,1,0,0.0,0.0034211575985
59,1,-1,-1.0,0.00297171622515
60,1,-1,-1.0,0.00268040597439
61,1,-1,-1.0,0.00285296142101
62,55,-1320,-24.0,0.0029853284359
63,1,-1,-1.0,0.00462506711483
64,1,0,0.0,0.00350567698479
65,1,-1,-1.0,0.00274012982845
66,1,-1,-1.0,0.00210276991129
67,1,0,0.0,0.00687848776579
68,1,-1,-1.0,0.00564390420914
69,72,-1728,-24.0,0.00478720664978
70,1,-1,-1.0,0.00398615002632
71,1,-1,-1.0,0.00332118570805
72,1,-1,-1.0,0.00331574678421
73,56,-1342,-23.9642857143,0.00276219844818
74,1,-1,-1.0,0.00235073268414
75,1,-1,-1.0,0.0019545853138
76,1,-1,-1.0,0.00156458467245
77,1,-1,-1.0,0.00110516697168
78,69,-1646,-23.8550724638,0.00165458023548
79,1,-1,-1.0,0.00291767716408
80,1,-1,-1.0,0.00226174294949
81,50,-1200,-24.0,0.00297737121582
82,67,-1599,-23.8656716418,0.00239497423172
83,1,-1,-1.0,0.00182107836008
84,1,0,0.0,0.00138961523771
85,1,-1,-1.0,0.00101688504219
86,82,-1968,-24.0,0.000814646482468
87,52,-1248,-24.0,0.000827342271805
88,1,-1,-1.0,0.000763446092606
89,1,-1,-1.0,0.000741899013519
90,1,-1,-1.0,0.000831007957458
91,55,-1320,-24.0,0.000844560563564
92,68,-1617,-23.7794117647,0.000787474215031
93,58,-1392,-24.0,0.00080168992281
94,82,-1968,-24.0,0.000821091234684
95,1,-1,-1.0,0.000874288380146
96,69,-1640,-23.768115942,0.00100338459015
97,1,-1,-1.0,0.00074203312397
98,1,-2,-2.0,0.000819526612759
99,68,-1621,-23.8382352941,0.00130428373814
100,72,-1728,-24.0,0.00135887414217
101,1,-1,-1.0,0.00121818482876
102,1,-1,-1.0,0.00118630379438
