epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,90,269900,2998.88888889,0.65240389606
2,86,209300,2433.72093023,1.09916134231
3,98,137900,1407.14285714,1.39385965073
4,88,291500,3312.5,1.50572691332
5,103,304500,2956.31067961,1.68655417105
6,97,298400,3076.28865979,1.84011892484
7,96,265100,2761.45833333,1.95203986045
8,99,309100,3122.22222222,1.90720569137
9,94,250700,2667.0212766,1.82465753159
10,95,268400,2825.26315789,1.83705296071
11,85,321000,3776.47058824,1.76063646321
12,85,302400,3557.64705882,1.70008606752
13,91,317900,3493.40659341,1.68428914529
14,91,326200,3584.61538462,1.63885632705
15,88,312500,3551.13636364,1.60602862422
16,90,288800,3208.88888889,1.57258706019
17,90,309300,3436.66666667,1.5238196566
18,92,305000,3315.2173913,1.52049295303
19,97,294100,3031.95876289,1.48415423585
20,102,243900,2391.17647059,1.50655857666
21,103,342800,3328.15533981,1.47935637349
22,95,266500,2805.26315789,1.47461111003
23,94,342600,3644.68085106,1.49251223691
24,90,336600,3740.0,1.44385821855
25,91,344700,3787.91208791,1.44136922199
26,98,329400,3361.2244898,1.432389485
27,91,353300,3882.41758242,1.40861053113
28,102,358000,3509.80392157,1.43940590025
29,94,377500,4015.95744681,1.4589860582
30,95,378500,3984.21052632,1.4586116411
31,94,374600,3985.10638298,1.46974858028
32,97,335400,3457.73195876,1.46413234652
33,96,336800,3508.33333333,1.44530041686
34,88,395300,4492.04545455,1.42274465234
35,95,363500,3826.31578947,1.41703627234
36,93,386600,4156.98924731,1.43453461281
37,98,359500,3668.36734694,1.42234223334
38,94,349500,3718.08510638,1.40326348857
39,90,413700,4596.66666667,1.37638869361
40,92,392600,4267.39130435,1.38303077624
41,90,376400,4182.22222222,1.38618725921
42,95,378600,3985.26315789,1.35988153775
43,98,404300,4125.51020408,1.33859651462
44,92,412400,4482.60869565,1.35881735993
45,92,399300,4340.2173913,1.32143122639
46,92,397900,4325.0,1.33156095776
47,93,394800,4245.16129032,1.35438607157
48,91,403200,4430.76923077,1.42304177507
49,91,418500,4598.9010989,1.39579994293
50,92,416300,4525.0,1.39362845628
51,91,411600,4523.07692308,1.39635658191
52,100,404200,4042.0,1.4068459083
