epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,50,5366,107.32,0.715072018211
2,1,166,166.0,1.57826303014
3,64,11097,173.390625,2.317478241
4,74,13451,181.77027027,3.45290465704
5,61,13815,226.475409836,4.532725635
6,69,3003,43.5217391304,5.73461872707
7,3,586,195.333333333,6.79391332382
8,195,13474,69.0974358974,7.39273576216
9,174,12032,69.1494252874,7.67759541882
10,2,420,210.0,7.93572437243
11,13,976,75.0769230769,8.42701319482
12,122,16146,132.344262295,8.93913882208
13,2,399,199.5,9.24374302748
14,28,7156,255.571428571,9.032881518
15,15,3805,253.666666667,9.00219502524
16,69,11029,159.84057971,9.02821156305
17,49,10681,217.979591837,8.82782338496
18,131,12218,93.2671755725,8.70070480502
19,53,8260,155.849056604,9.1280368651
20,7,1534,219.142857143,9.44476427032
21,2,509,254.5,9.36615285153
22,28,5222,186.5,9.16683419279
23,1,185,185.0,9.1000855917
24,3,747,249.0,9.44083203856
25,49,8063,164.551020408,9.9066317564
26,18,2513,139.611111111,10.4076476921
27,5,1031,206.2,10.8234966425
28,59,8637,146.389830508,11.9213647946
29,39,7437,190.692307692,12.6497881261
30,136,15100,111.029411765,13.3678691155
31,80,15823,197.7875,13.9384599317
32,83,11321,136.397590361,13.9710842914
33,112,14871,132.776785714,14.3194569247
34,22,3739,169.954545455,14.2877015733
35,37,7877,212.891891892,13.9618942811
36,2,186,93.0,14.047354987
37,82,14067,171.548780488,14.2718581012
38,133,15447,116.142857143,13.7795631398
39,103,14608,141.825242718,13.2452270823
40,48,4249,88.5208333333,12.9955171641
41,1,292,292.0,13.3120884106
42,7,727,103.857142857,13.4190728491
43,17,2474,145.529411765,13.039605329
44,8,1388,173.5,12.4370197468
45,47,5366,114.170212766,12.0450564895
46,10,1131,113.1,11.2390033438
47,7,1180,168.571428571,10.4421113818
48,193,12424,64.3730569948,9.75429574118
49,203,10043,49.4729064039,9.04412004486
50,25,1606,64.24,8.57439922234
51,6,423,70.5,8.39280031946
52,1,194,194.0,8.77704417075
53,3,335,111.666666667,9.14848150021
54,8,512,64.0,9.73025309744
55,43,5637,131.093023256,9.28132347838
56,35,4236,121.028571429,9.00291626704
57,1,268,268.0,8.75420921556
58,1,254,254.0,9.064978915
59,31,5850,188.709677419,9.23409630895
60,87,11175,128.448275862,9.50861045895
61,79,14045,177.784810127,9.55211804058
62,24,3479,144.958333333,9.47496345256
63,28,4424,158.0,9.15444809066
64,1,46,46.0,8.99093918097
65,26,2895,111.346153846,8.9469501438
66,1,286,286.0,8.93505752085
