epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,1,9813,9813.0,1.54325109471
2,102,45365,444.754901961,2.81031024478
3,39,605,15.5128205128,4.42821985714
4,124,10528,84.9032258065,5.50554205619
5,81,130835,1615.24691358,6.50014065132
6,60,32547,542.45,7.24215230092
7,87,550132,6323.35632184,7.76971099779
8,63,504744,8011.80952381,8.06262332559
9,27,343576,12725.037037,8.03733127981
10,78,891396,11428.1538462,8.14736428767
11,104,8507,81.7980769231,8.40616259173
12,70,542494,7749.91428571,8.71112805843
13,31,201361,6495.51612903,8.75587700695
14,1,4304,4304.0,8.94013954878
15,2,17908,8954.0,8.85006703556
16,18,56753,3152.94444444,9.0439761436
17,30,162469,5415.63333333,9.17377372637
18,35,332134,9489.54285714,9.20095251441
19,53,309230,5834.52830189,9.08571648329
20,41,993587,24233.8292683,9.04013501897
21,57,1092536,19167.2982456,9.13720519185
22,21,129251,6154.80952381,9.16223489225
23,39,413864,10611.8974359,9.13244858921
24,13,164724,12671.0769231,9.21156399205
25,8,55870,6983.75,9.14542485565
26,6,95095,15849.1666667,9.26280755311
27,2,22012,11006.0,9.3019878009
28,1,13312,13312.0,9.2387460418
29,7,207750,29678.5714286,9.30053694069
30,2,42346,21173.0,9.33246741526
31,37,1686328,45576.4324324,9.38600135021
32,11,142113,12919.3636364,9.39510627568
33,3,71326,23775.3333333,9.37016214468
34,5,103772,20754.4,9.26100871213
35,4,115970,28992.5,9.26005865753
36,26,324893,12495.8846154,9.31873351507
37,2,33922,16961.0,9.29786107548
38,1,1903,1903.0,9.35689270824
39,37,1592971,43053.2702703,9.2978417933
40,7,121791,17398.7142857,9.34867174044
41,10,18713,1871.3,9.25090339437
42,11,175555,15959.5454545,9.34101568818
43,1,25026,25026.0,9.20003333047
44,26,246103,9465.5,9.2340884845
45,6,101088,16848.0,9.15729403347
46,4,37833,9458.25,9.29588329501
47,11,47665,4333.18181818,9.39004687026
48,8,438601,54825.125,9.45322780818
49,7,51439,7348.42857143,9.42682233676
50,7,37259,5322.71428571,9.46182932049
51,87,683005,7850.63218391,9.48971048698
52,34,472289,13890.8529412,9.44157610565
53,9,115865,12873.8888889,9.46986418851
54,61,1065085,17460.4098361,9.47914923981
55,17,608847,35814.5294118,9.50630939722
56,1,1602,1602.0,9.57602489427
57,34,271637,7989.32352941,9.59458678991
58,1,400,400.0,9.6404210943
59,7,50448,7206.85714286,9.5936508283
60,52,1238322,23813.8846154,9.7746350956
61,35,1095653,31304.3714286,9.79930249482
62,23,352666,15333.3043478,9.89682189703
63,79,1146287,14509.9620253,9.86451858833
64,58,2088913,36015.7413793,9.81919590637
65,67,1340857,20012.7910448,9.85197975874
66,31,595994,19225.6129032,9.77513736263
67,13,439451,33803.9230769,9.75699608833
68,1,300,300.0,9.83502802603
69,67,818327,12213.8358209,9.86832552493
70,22,777396,35336.1818182,9.84701705351
71,44,1273313,28938.9318182,9.83330559716
72,74,1416345,19139.7972973,9.96962366298
73,85,1298858,15280.6823529,10.03356748
74,89,856169,9619.87640449,9.95920228101
75,59,2203162,37341.7288136,9.85310826056
76,63,931517,14785.984127,9.87194576815
77,25,548861,21954.44,9.91009444632
78,62,1828239,29487.7258065,9.89824013039
79,11,234025,21275.0,9.85600606531
80,17,503163,29597.8235294,9.98911331698
81,55,1908025,34691.3636364,9.9320588702
82,13,400146,30780.4615385,10.0496184818
83,45,2576325,57251.6666667,10.0901365768
84,68,1220592,17949.8823529,9.94316091552
85,3,64254,21418.0,10.0745493201
86,1,3505,3505.0,10.0748166653
87,35,2422908,69225.9428571,10.0232814513
88,26,1557402,59900.0769231,10.0257806052
89,57,1110284,19478.6666667,10.0082542107
90,58,1013116,17467.5172414,9.88229079813
91,11,395253,35932.0909091,9.93902864322
92,30,1535162,51172.0666667,10.0392535675
93,27,1315297,48714.7037037,10.1165250689
94,37,1659871,44861.3783784,10.1441702817
95,2,202,101.0,10.2364676355
96,42,618650,14729.7619048,10.3291399656
97,1,7511,7511.0,10.276762816
98,24,848129,35338.7083333,10.2729184641
99,43,2808678,65318.0930233,10.2617269395
100,46,2074150,45090.2173913,10.2517460014
101,27,758553,28094.5555556,10.1922891569
102,8,891717,111464.625,10.2938466996
103,2,10807,5403.5,10.3116078763
104,13,197129,15163.7692308,10.2413597932
