epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,132,20100,152.272727273,0.405896498561
2,131,22800,174.045801527,0.641975598037
3,334,44700,133.832335329,0.716273931134
4,129,19600,151.937984496,0.798856180646
5,304,16800,55.2631578947,0.828311057407
6,110,37900,344.545454545,0.850864217505
7,138,35800,259.420289855,0.815280113276
8,99,43600,440.404040404,0.785940714981
9,90,27300,303.333333333,0.824328193367
10,97,63400,653.608247423,0.796282841191
11,127,33900,266.929133858,0.821758266892
12,50,61900,1238.0,0.880736199804
13,39,52400,1343.58974359,0.895898189079
14,69,73700,1068.11594203,0.96982358776
15,53,66700,1258.49056604,1.02022576313
16,89,73900,830.337078652,1.09008312967
17,58,41200,710.344827586,1.24057913413
18,82,62900,767.073170732,1.38404179744
19,50,48500,970.0,1.41065150131
20,87,51800,595.402298851,1.37813685695
21,45,20900,464.444444444,1.31851791313
22,69,49600,718.84057971,1.32382442912
23,72,44700,620.833333333,1.2750712507
24,54,52800,977.777777778,1.26513184508
25,68,73900,1086.76470588,1.21185731042
26,63,76000,1206.34920635,1.16893761428
27,105,62100,591.428571429,1.1506817605
28,55,59200,1076.36363636,1.1342683351
29,76,62700,825.0,1.0823484412
30,74,66300,895.945945946,1.0701147032
31,65,70400,1083.07692308,1.07943287373
32,90,63000,700.0,1.06405435903
33,62,73000,1177.41935484,1.05496789847
34,80,87700,1096.25,1.03027707022
35,105,57500,547.619047619,1.08557484198
36,65,66400,1021.53846154,1.27494080363
37,72,42500,590.277777778,1.35932109926
38,64,39600,618.75,1.39545227714
39,55,58500,1063.63636364,1.34520911805
40,65,67300,1035.38461538,1.35113979543
41,95,64400,677.894736842,1.3245571805
42,62,49300,795.161290323,1.29377897458
43,78,82100,1052.56410256,1.27002673516
44,69,70600,1023.1884058,1.29806501361
45,81,85500,1055.55555556,1.32155762445
46,65,73700,1133.84615385,1.35216834828
47,56,52300,933.928571429,1.33815295544
48,67,68600,1023.88059701,1.31022591295
49,56,70400,1257.14285714,1.33988485705
50,74,75000,1013.51351351,1.3088627205
51,88,76100,864.772727273,1.28426649835
52,85,76200,896.470588235,1.5030206845
53,80,75400,942.5,1.58819738805
54,60,75300,1255.0,1.69492857287
55,146,81700,559.589041096,1.8412466494
56,208,53700,258.173076923,1.74559847735
57,178,28200,158.426966292,1.47355529768
58,144,40600,281.944444444,1.206910234
59,64,46400,725.0,1.05049379107
60,108,27900,258.333333333,0.848753701169
61,142,53700,378.169014085,0.755361833191
62,108,33300,308.333333333,0.633704936798
63,106,69900,659.433962264,0.552074019769
64,82,45300,552.43902439,0.467693943218
65,143,66100,462.237762238,0.470684055798
66,125,73800,590.4,0.429396396508
67,77,50200,651.948051948,0.448545028577
68,29,5900,203.448275862,0.488665397363
69,153,27300,178.431372549,0.452738934313
70,132,46500,352.272727273,0.476393168648
71,132,52000,393.939393939,0.463725726185
72,163,56500,346.625766871,0.455234735929
73,90,27400,304.444444444,0.481208596714
74,105,22700,216.19047619,0.462331127306
75,61,35400,580.327868852,0.438604718014
76,16,3900,243.75,0.464745364836
77,63,20200,320.634920635,0.443003552621
78,48,23800,495.833333333,0.431270773322
79,76,30900,406.578947368,0.442194391633
80,155,25100,161.935483871,0.428764220579
81,84,36000,428.571428571,0.413272920651
82,11,5400,490.909090909,0.389593829243
83,80,45600,570.0,0.390479801851
84,89,41600,467.415730337,0.364604000603
85,142,66600,469.014084507,0.356483229143
86,192,25600,133.333333333,0.350557186622
87,81,42300,522.222222222,0.35671442965
88,97,41200,424.742268041,0.397608605055
89,95,33600,353.684210526,0.394420585111
90,76,22800,300.0,0.400051518418
91,100,48300,483.0,0.358904843987
92,102,38700,379.411764706,0.329739994789
93,56,18600,332.142857143,0.307675287076
94,107,37400,349.53271028,0.296802337714
95,101,40100,397.02970297,0.27035490063
96,94,39800,423.404255319,0.251095622312
97,90,39900,443.333333333,0.24692383531
98,117,35300,301.709401709,0.27793771347
99,79,32600,412.658227848,0.282464447045
100,101,31600,312.871287129,0.286361822304
101,117,26800,229.05982906,0.303730623545
102,96,33500,348.958333333,0.314095724551
103,82,33600,409.756097561,0.311990824449
104,101,41300,408.910891089,0.307829620037
105,146,21700,148.630136986,0.280832832102
106,124,33200,267.741935484,0.284568430977
107,132,34000,257.575757576,0.279583135736
108,94,32600,346.808510638,0.252064475864
109,101,31200,308.910891089,0.238099460318
110,160,30900,193.125,0.233042605193
111,151,72200,478.145695364,0.257963814507
112,163,68300,419.018404908,0.26818068414
113,129,63600,493.023255814,0.303906515599
114,127,41500,326.771653543,0.335132051921
115,129,49200,381.395348837,0.337614190648
116,141,60600,429.787234043,0.33936931836
117,88,36100,410.227272727,0.351211538585
118,120,46500,387.5,0.359939901819
119,107,49000,457.943925234,0.351444998495
120,115,48100,418.260869565,0.352916790918
121,110,46800,425.454545455,0.318543588845
122,111,47700,429.72972973,0.310967264585
123,177,68000,384.18079096,0.293619165868
124,168,62800,373.80952381,0.332602376607
125,158,63900,404.430379747,0.311861845343
126,176,55300,314.204545455,0.335019212584
127,126,58300,462.698412698,0.348654256472
128,123,47400,385.365853659,0.340288283844
129,199,60000,301.507537688,0.32341384524
130,167,52800,316.167664671,0.329897155208
131,161,51700,321.118012422,0.325140030864
132,137,50600,369.343065693,0.328693446266
133,158,52100,329.746835443,0.321845198958
134,162,53700,331.481481481,0.346548658293
135,150,44300,295.333333333,0.351505504497
136,234,51800,221.367521368,0.346993462299
137,151,55900,370.198675497,0.333839626266
138,179,62300,348.044692737,0.339738555332
139,90,36100,401.111111111,0.315411296398
140,102,32500,318.62745098,0.310269557731
141,121,31600,261.157024793,0.295135263521
142,84,28800,342.857142857,0.274699876886
143,116,34100,293.965517241,0.268411794538
144,197,54900,278.680203046,0.344471096932
145,166,59200,356.626506024,0.36168356
146,186,45100,242.47311828,0.350967405546
147,266,39800,149.62406015,0.325288895173
148,139,40800,293.525179856,0.320218937756
149,150,56700,378.0,0.334471368161
150,90,40100,445.555555556,0.337383646802
151,105,51300,488.571428571,0.34711582467
152,153,56600,369.934640523,0.327116914494
153,156,61300,392.948717949,0.343791895341
154,160,63500,396.875,0.322791083944
155,64,28700,448.4375,0.309429506278
156,188,36400,193.617021277,0.30225978143
