epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,121,10800,89.2561983471,0.322030176613
2,141,0,0.0,0.385696329637
3,141,0,0.0,0.483217178909
4,141,0,0.0,0.525938161402
5,89,109500,1230.33707865,0.569442551951
6,85,153200,1802.35294118,0.633215425313
7,68,77200,1135.29411765,0.776678419393
8,93,163500,1758.06451613,0.987941539995
9,79,178700,2262.02531646,1.16839340348
10,80,173900,2173.75,1.31838290433
11,65,118100,1816.92307692,1.43476340965
12,67,239100,3568.65671642,1.59191210974
13,57,141400,2480.70175439,1.62309635035
14,63,269200,4273.01587302,1.59771189805
15,64,213400,3334.375,1.57953870365
16,57,270200,4740.35087719,1.53802764594
17,56,238700,4262.5,1.53831539288
18,56,295800,5282.14285714,1.57377154758
19,55,260500,4736.36363636,1.60748056146
20,59,315900,5354.23728814,1.65968306739
21,58,310200,5348.27586207,1.64258473409
22,58,323800,5582.75862069,1.63545748493
23,53,342100,6454.71698113,1.67367526111
24,52,312700,6013.46153846,1.67309133679
25,53,378100,7133.96226415,1.73027895581
26,51,355000,6960.78431373,1.76804193363
27,52,371800,7150.0,1.76764137275
28,49,374600,7644.89795918,1.75361218687
29,53,351200,6626.41509434,1.72146973832
30,48,417800,8704.16666667,1.6995501247
31,54,384000,7111.11111111,1.70217799835
32,51,408400,8007.84313725,1.69047425301
33,46,395600,8600.0,1.71365849182
34,47,442600,9417.0212766,1.73882987296
35,44,396900,9020.45454545,1.75197339538
36,48,451700,9410.41666667,1.78810879847
37,44,441500,10034.0909091,1.77035474928
38,42,462800,11019.047619,1.74044401591
39,46,417300,9071.73913043,1.75727576238
40,52,414700,7975.0,1.67589592107
41,47,428000,9106.38297872,1.68056367285
42,48,468800,9766.66666667,1.6525474929
43,50,469000,9380.0,1.63952857601
44,43,422300,9820.93023256,1.63396498837
45,44,470800,10700.0,1.66934832258
46,45,469200,10426.6666667,1.65699036905
47,42,473300,11269.047619,1.60644422577
48,47,464500,9882.9787234,1.56985483882
49,42,509600,12133.3333333,1.54645470134
50,47,483500,10287.2340426,1.56532208249
51,44,491700,11175.0,1.59577428762
52,43,492000,11441.8604651,1.55573088802
53,44,508900,11565.9090909,1.59345848783
54,45,463900,10308.8888889,1.60453347016
55,43,481300,11193.0232558,1.602608761
56,46,528300,11484.7826087,1.58773220096
57,44,476200,10822.7272727,1.62340290788
58,43,489500,11383.7209302,1.63429360182
59,44,514600,11695.4545455,1.62521895338
60,45,497400,11053.3333333,1.59983253505
61,46,464000,10086.9565217,1.62413093306
62,40,548200,13705.0,1.59348906196
63,38,575400,15142.1052632,1.60330110707
64,41,508200,12395.1219512,1.60484124782
65,43,551300,12820.9302326,1.5702059659
66,39,564200,14466.6666667,1.5298559778
67,42,575400,13700.0,1.47850132067
68,40,530400,13260.0,1.4715516043
69,43,536600,12479.0697674,1.51193422067
70,43,510100,11862.7906977,1.55581201863
71,43,552100,12839.5348837,1.56377936907
72,41,514100,12539.0243902,1.58287929361
73,45,454000,10088.8888889,1.56368503087
74,48,476800,9933.33333333,1.53180655834
75,44,508600,11559.0909091,1.52630520451
76,43,516500,12011.627907,1.51513998286
77,43,572200,13306.9767442,1.45292018256
78,44,544000,12363.6363636,1.43854210529
79,44,566800,12881.8181818,1.43802563889
80,42,536600,12776.1904762,1.44718627038
81,40,547800,13695.0,1.41057487624
82,42,508200,12100.0,1.40229148974
83,44,542900,12338.6363636,1.39816188711
84,47,501400,10668.0851064,1.4479956903
85,42,515100,12264.2857143,1.45185730666
86,42,540000,12857.1428571,1.47507902567
87,39,499800,12815.3846154,1.48186153934
88,42,517100,12311.9047619,1.47043360461
89,42,495600,11800.0,1.45947527226
90,43,538000,12511.627907,1.48759883868
91,42,511800,12185.7142857,1.48803973797
92,40,533400,13335.0,1.49358380878
93,43,494400,11497.6744186,1.47762809197
94,43,534500,12430.2325581,1.45537728654
95,43,550100,12793.0232558,1.48273348197
96,38,554300,14586.8421053,1.46630291736
97,38,596100,15686.8421053,1.45864807849
98,38,580900,15286.8421053,1.44690700868
99,39,527600,13528.2051282,1.39945018345
100,39,548100,14053.8461538,1.40644109829
101,40,585400,14635.0,1.4176795317
102,45,541200,12026.6666667,1.39611335316
103,43,572500,13313.9534884,1.37890595781
104,40,560100,14002.5,1.39696127789
105,43,588000,13674.4186047,1.36933537947
106,36,576500,16013.8888889,1.34890117257
107,42,544000,12952.3809524,1.36969145461
108,41,555200,13541.4634146,1.37455540203
109,34,620900,18261.7647059,1.38348363585
110,37,564300,15251.3513514,1.40637664455
111,42,556200,13242.8571429,1.41447197785
112,43,550400,12800.0,1.42825806145
113,42,583300,13888.0952381,1.42934236392
114,42,591300,14078.5714286,1.37132986034
115,41,535300,13056.097561,1.38037528981
116,34,579500,17044.1176471,1.36093043556
117,39,547500,14038.4615385,1.41469936126
118,39,551200,14133.3333333,1.39738311624
119,39,560000,14358.974359,1.40410114596
120,39,556100,14258.974359,1.41029270588
121,43,556500,12941.8604651,1.40578363054
122,44,587000,13340.9090909,1.40761311252
123,42,556400,13247.6190476,1.37186654192
124,37,589000,15918.9189189,1.34436146945
125,38,533600,14042.1052632,1.33024990985
126,40,556100,13902.5,1.31989108263
127,42,566800,13495.2380952,1.33344636501
128,42,563000,13404.7619048,1.3608169635
129,40,558800,13970.0,1.35443169395
130,35,574500,16414.2857143,1.33961999791
131,39,560600,14374.3589744,1.33414135375
132,39,566000,14512.8205128,1.34095130935
133,38,539400,14194.7368421,1.35448035156
134,40,519900,12997.5,1.36238984663
135,44,564500,12829.5454545,1.36513935959
136,38,542300,14271.0526316,1.39636762227
137,36,559700,15547.2222222,1.40265953591
138,40,557400,13935.0,1.40346315105
139,36,600900,16691.6666667,1.41191710832
140,40,558400,13960.0,1.39206808261
141,37,582700,15748.6486486,1.40091795616
142,37,579500,15662.1621622,1.3931845479
143,39,563200,14441.025641,1.37034215769
144,38,567700,14939.4736842,1.35990446185
145,38,584700,15386.8421053,1.38162027496
146,35,575200,16434.2857143,1.3734265242
147,38,617500,16250.0,1.3556786726
148,38,592800,15600.0,1.32045139501
149,38,590800,15547.3684211,1.32458276876
150,40,579400,14485.0,1.29730997413
151,38,598100,15739.4736842,1.31728544196
152,38,572500,15065.7894737,1.30041310872
153,35,585700,16734.2857143,1.28977421635
154,38,587900,15471.0526316,1.30669074667
155,36,591300,16425.0,1.32559101195
156,39,600300,15392.3076923,1.34689992039
157,35,560700,16020.0,1.36124991763
